funder,year,region,county,nonprofit,amount,city,type,category
El Pomar Foundation,2014,Southeast,Huerfano ,Friends of Spanish Peaks Library District,10000,Walsenburg,Capital,Education,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Huerfano ,"Spanish Peaks International Celtic Music Festival, Inc.",1500,Gardner,Program,Arts and Culture,7/24/14,,,,,,,,,,
Adolph Coors Foundation,2014,Southeast,Huerfano,Huerfano County Youth Services,10000,Walsenburg,General Operating,,3/31/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Huerfano,La Veta Fire Protection District,10000,La Veta,General Operating,"Civic, Community, and Technical Assistance",11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Huerfano,Museum Of Friends,5000,Walsenburg,General Operating,"Civic, Community, and Technical Assistance",4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Huerfano,"Two Peaks Fitness, Inc.",7000,La Veta,Program,Senior Programs,4/30/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Huerfano,Spanish Peaks Child Care Center,16000,Trinidad,General Operating,Early Childhood,12/11/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Crowley ,"Grand Friends, Inc.",2000,Rocky Ford,General Operating,Arts and Culture,9/28/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Crowley,Kids' Campus Preschool and Day Care Center,20000,Ordway,General Operating,Early Childhood,8/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Southeast,Crowley,Crowley County School District RE-1-J,150000,Ordway,Capital,Health,1/16/14,,,,,,,,,,
The Colorado Trust,2014,Southeast,Crowley,Crowley County,5000,Ordway,General Operating,,11/4/14,,,,,,,,,,
Adolph Coors Foundation,2014,Southeast,Bent,Bent County/Las Animas Community Center,5000,Las Animas,General Operating,,11/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Bent,Pioneer Historical Society of Bent County,7500,Las Animas,Program,"Civic, Community, and Technical Assistance",11/30/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Bent,McClave School District Preschool,20000,McClave,General Operating,Early Childhood,4/23/14,,,,,,,,,,
The Colorado Trust,2014,Southeast,Bent,Bent County/Las Animas Community Center,5000,Las Animas,General Operating,,12/1/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Baca ,"Blue Rose Ranch, Inc.",5000,Springfield,General Operating,Civic and Community,9/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Baca,"Blue Rose Ranch, Inc. ",5000,Springfield,General Operating,Humane Animal Services,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Baca,"Springfield Child Care Center, Inc.",5000,Springfield,Program,Early Childhood,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Baca,"Springfield EMS Association, Inc.",10000,Springfield,Capital  ,Health & Hospice,11/30/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Southeast,Baca,Southeast Colorado Hospital District,26250,Springfield,Capital,Health,1/29/14,,,,,,,,,,
Daniels Fund,2014,Southeast,Baca,Southeast Colorado Hospital District,10004,Springfield,Program,Aging,,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Baca,Springfield Child Care Center,14500,Springfield,General Operating,Early Childhood,4/23/14,,,,,,,,,,
