funder,year,region,county,nonprofit,amount,city,type,category
El Pomar Foundation,2010,WesternSlope,Delta,"Delta Food Pantry, Inc.",2500.00,Delta,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Country Food Pantry,5000.00,Gunnison,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison County Health and Human Services,2500.00,Gunnison,Program,Health                                                                     
El Pomar Foundation,2010,WesternSlope,Montrose,Hilltop Health Services Corporation,5000.00,Montrose,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2010,WesternSlope,Gunnison,"Jubilee House of Gunnison County, Inc.",3000.00,Gunnison,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2010,WesternSlope,Mesa,"Marillac Clinic, Inc.",10000.00,Grand Junction,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",3000.00,Montrose,Program,Disabled Persons
El Pomar Foundation,2010,WesternSlope,Montrose,"Montrose Medical Mission, Inc.",2500.00,Montrose,Program,Health                                                                     
El Pomar Foundation,2010,WesternSlope,Delta,"Rotary Club of Paonia Foundation, Inc.",1000.00,Paonia,Program,Human Services
El Pomar Foundation,2010,WesternSlope,San Miguel,San Miguel Resource Center,2000.00,Telluride,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2010,WesternSlope,Montrose,"Sharing Ministries, Inc",3000.00,Montrose,Program,Human Services
El Pomar Foundation,2010,WesternSlope,San Miguel,Telluride Foundation,5000.00,Telluride,Program,"Community, Public Affairs"
El Pomar Foundation,2010,WesternSlope,Ouray,United Church of the San Juans,1500.00,Ouray,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Mesa,Western Council Boy Scouts of America,7500.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Mesa,"Mesa Youth Services, Inc.",4000.00,Grand Junction,General Operating,
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,1000.00,Delta,Program,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Country Partners,3000.00,Gunnison,Program,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa County Business Education Foundation,15000.00,Grand Junction,Program,"Housing, Homeless shelters"
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa State College Foundation,50000.00,Grand Junction,Program,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa State College Foundation,10000.00,Grand Junction,Program,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa State College Foundation,25000.00,Grand Junction,Event,"Housing, Homeless shelters"
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction,Student Aid/Scholarship,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Riverside Educational Center,1500.00,Grand Junction,General Operating,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Western Colorado Math & Science Center,1500.00,Grand Junction,General Operating,Education
El Pomar Foundation,2010,WesternSlope,Montrose,Black Canyon Boys & Girls Club,5000.00,Montrose,General Operating,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,San Miguel,Bright Futures,30000.00,Telluride,Other,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Delta,Delta County,10000.00,Delta,Program,"Public safety, Emergency relief"
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,5000.00,Delta,Other,Education
El Pomar Foundation,2010,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta,Program,Education
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison Council for the Arts,1500.00,Gunnison,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2010,WesternSlope,Gunnison,Gunnison County Health and Human Services,10000.00,Gunnison,Program,Health                                                                     
El Pomar Foundation,2010,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,25000.00,Grand Junction,Capital,Hospice
El Pomar Foundation,2010,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,1500.00,Grand Junction,Program,Hospice
El Pomar Foundation,2010,WesternSlope,Hinsdale,Lake City Arts Council,1500.00,Lake City,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2010,WesternSlope,Montrose,Montrose County Health and Human Services,1500.00,Montrose,Program,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Mesa,Quality Health Network,5000.00,Grand Junction,Program,Health                                                                     
El Pomar Foundation,2010,WesternSlope,San Miguel,Telluride Foundation,35000.00,Telluride,Program,Health                                                                     
El Pomar Foundation,2010,WesternSlope,San Miguel,Wright Stuff Community Foundation,1500.00,Norwood,Program,"Community, Public Affairs"
El Pomar Foundation,2010,WesternSlope,San Miguel,Telluride High School,5000.00,Telluride,Other,Education
Gates Family Foundation,2010,WesternSlope,San Miguel,Ah Haa School for the Arts,50000.00,Telluride,Capital,"Arts, Culture & Humanities "
Gates Family Foundation,2010,WesternSlope,Ouray,Friends of the Wright Opera House,75000.00,Ouray,Capital,"Arts, Culture & Humanities "
Gates Family Foundation,2010,WesternSlope,Gunnison,Gunnison Ranchland Conservation Legacy,22650.00,Gunnison,Capital,"Environment, Conservation"
Gates Family Foundation,2010,WesternSlope,Mesa,Mesa Land Trust,40000.00,Grand Junction,Capital,"Environment, Conservation"
Gates Family Foundation,2010,WesternSlope,Delta,North Fork River Improvement Association,22000.00,Paonia,Capital,"Environment, Conservation"
Gates Family Foundation,2010,WesternSlope,Delta,Western Slope Environmental Resource Council,25000.00,Paonia,Capital,"Environment, Conservation"
Gates Family Foundation,2010,WesternSlope,Mesa,City of Fruita,50000.00,Fruita,Capital,Children and Youth Services
Gates Family Foundation,2010,WesternSlope,Hinsdale,Lake City Area Medical Center,150000.00,Lake City,Capital,Children and Youth Services
Gates Family Foundation,2010,WesternSlope,Mesa,Grand Junction Housing Authority,30000.00,Grand Junction,Capital,"Housing, Homeless shelters"
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,25000.00,Grand Junction,Program,Human Services
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,General Operating,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Hilltop Community Resources,27500.00,Grand Junction,General Operating,
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Mesa County Partners,20000.00,Grand Junction,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",20000.00,Montrose,General Operating,"Community, Public Affairs"
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",20000.00,Montrose,Other,"Community, Public Affairs"
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",18000.00,Montrose,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction,Capital,Disabled Persons
Kenneth King Foundation,2010,WesternSlope,Montrose,All Points Transit,1500.00,Montrose,General Operating,
Kenneth King Foundation,2010,WesternSlope,Mesa,Boy Scouts of America/Western CO Council,1500.00,Grand Junction,General Operating,Children and Youth Services
Kenneth King Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach,2500.00,Grand Junction,General Operating,Human Services
Kenneth King Foundation,2010,WesternSlope,Mesa,Kans Inc.,1500.00,Grand Junction,General Operating,
Kenneth King Foundation,2010,WesternSlope,Gunnison,Living Journeys,1500.00,Crested Butte,General Operating,
Kenneth King Foundation,2010,WesternSlope,Mesa,"Marillac Clinic, Inc.",2500.00,Grand Junction,General Operating,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Hilltop Community Resources,30000.00,Grand Junction,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Hilltop Community Resources,30000.00,Grand Junction,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2010,WesternSlope,San Miguel,Wright Stuff Community Foundation,30000.00,Norwood,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Montrose County Health and Human Services,27000.00,Montrose,Program,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,San Miguel,Town of Mountain Village,25000.00,Mountain Village,Capital,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,22500.00,Gunnison,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,San Miguel,Bright Futures,18000.00,Telluride,Program,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,18000.00,Gunnison,Program,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Montrose County Health and Human Services,18000.00,Montrose,Program,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,16000.00,Ridgway,Program,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Mesa Land Trust,15000.00,Grand Junction,General Operating,"Environment, Conservation"
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Stepping Stones Children's Center,10000.00,Crested Butte,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Stepping Stones Children's Center,5000.00,Crested Butte,General Operating,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Passage Charter School,12000.00,Montrose,Not Provided,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Strong Families, Safe Kids",12000.00,Grand Junction,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Western Colorado Math & Science Center,12000.00,Grand Junction,General Operating,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"St. Mary's Hospital and Medical Center, Inc.",10000.00,Grand Junction,Program,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,Gunnison,Gunnison County Library District,10000.00,Gunnison,Program,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,Delta County School District 50-J,10000.00,Delta,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Western Colorado Center for the Arts,8000.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Paradox Valley School,2000.00,Paradox,Student Aid/Scholarship,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Paradox Valley School,2500.00,Paradox,Other,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Montrose,Paradox Valley School,2500.00,Paradox,Program,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Delta,Delta County School District,6500.00,Crawford,Other,Education
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Grand Junction Musical Arts Association,5000.00,Grand Junction,Event,"Arts, Culture & Humanities "
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Mesa Youth Service, Inc.",5000.00,Grand Junction,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Marillac Clinic, Inc.",4500.00,Grand Junction,Program,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Child and Migrant Services, Inc.",3500.00,Palisade,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,San Miguel,Mountain Sprouts Preschool,2000.00,Telluride,Other,Education
Adolph Coors Foundation,2011,WesternSlope,Montrose,Black Canyon Boys & Girls Club,10000.00,Montrose,General Operating,
Adolph Coors Foundation,2011,WesternSlope,Montrose,Delta Montrose Youth Services,15000.00,Montrose,General Operating,
Adolph Coors Foundation,2011,WesternSlope,Mesa,Girls On The Run of the Grand Valley,5000.00,Grand Junction,General Operating,
Adolph Coors Foundation,2011,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,8000.00,Ridgway,General Operating,
Adolph Coors Foundation,2011,WesternSlope,Mesa,Riverside Educational Center,7500.00,Grand Junction,General Operating,
Adolph Coors Foundation,2011,WesternSlope,San Miguel,San Miguel Mentoring Program,10000.00,Telluride,General Operating,
Adolph Coors Foundation,2011,WesternSlope,Mesa,St. Mary's Foster Grandparent Program,7500.00,Grand Junction,General Operating,
Adolph Coors Foundation,2011,WesternSlope,Mesa,Western CO Math and Science Center,12000.00,Grand Junction,General Operating,
Animal Assistance Foundation,2011,WesternSlope,Montrose,Dream Catcher Therapy Center and End of Trail,10000.00,Olathe,Program,Animal Protection and Welfare
Animal Assistance Foundation,2011,WesternSlope,Montrose,Hoof and Paw,2000.00,Nucla,General Operating,Animal Protection and Welfare
Animal Assistance Foundation,2011,WesternSlope,Montrose,Montrose Animal Protection Agency,5000.00,Montrose,Program,Animal Protection and Welfare
Animal Assistance Foundation,2011,WesternSlope,Ouray,Second Chance Humane Society,5000.00,Ridgway,Program,Animal Protection and Welfare
Animal Assistance Foundation,2011,WesternSlope,Delta,Spirit Wind Horse Rescue,3600.00,Hotchkiss,Other,Animal Protection and Welfare
Anschutz Family Foundation,2011,WesternSlope,Mesa,CASA of Mesa County,5000.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Montrose,The Dolphin House,7500.00,Montrose,Program,Abuse & Neglect Prevention
Anschutz Family Foundation,2011,WesternSlope,Montrose,Voices for Children,5000.00,Montrose,General Operating,Abuse & Neglect Prevention
Anschutz Family Foundation,2011,WesternSlope,Delta,Kids' Pasta Project,6000.00,Hotchkiss,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.",5000.00,Crested Butte,General Operating,Disabled Persons
Anschutz Family Foundation,2011,WesternSlope,Mesa,Colorado Discover Ability,7500.00,Grand Junction,General Operating,Disabled Persons
Anschutz Family Foundation,2011,WesternSlope,Montrose,End of the Trail Horse Rescue/Sanctuary,5000.00,Olathe,General Operating,Disabled Persons
Anschutz Family Foundation,2011,WesternSlope,San Miguel,Telluride Adaptive Sports Program,5000.00,Telluride,General Operating,Disabled Persons
Anschutz Family Foundation,2011,WesternSlope,Delta,Delta County School District #50,5000.00,Delta,Program,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Delta,Little Sprouts Community Preschool,5000.00,Cedaredge,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Mesa,Mesa County Partnership for Children and Families,5000.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss,Student Aid/Scholarship,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Gunnison,Paradise Place Community Christian School,2500.00,Crested Butte,Student Aid/Scholarship,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Delta,FAMILIES PLUS,5000.00,Delta,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Mesa,The Parenting Place of Western Colorado,5000.00,Grand Junction,General Operating,Abuse & Neglect Prevention
Anschutz Family Foundation,2011,WesternSlope,Montrose,Christ's Kitchen,5000.00,Montrose,General Operating,"Food, Agriculture, Nutrition"
Anschutz Family Foundation,2011,WesternSlope,Hinsdale,Community Food Bank,5000.00,Grand Junction,General Operating,Emergency Assistance      
Anschutz Family Foundation,2011,WesternSlope,Delta,Delta County Citizens for Animal Welfare and Shelter,5000.00,Paonia,General Operating,Animal Protection and Welfare
Anschutz Family Foundation,2011,WesternSlope,Mesa,Grand Junction Imagination Library,3000.00,Grand Junction,General Operating,Education
Anschutz Family Foundation,2011,WesternSlope,Mesa,The Literacy Center/Mesa County Libraries,5000.00,Grand Junction,General Operating,Education
Anschutz Family Foundation,2011,WesternSlope,Mesa,Counseling and Education Center,5000.00,Grand Junction,General Operating,Health                                                                     
Anschutz Family Foundation,2011,WesternSlope,Mesa,Artspace & Open Studios,3200.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
Anschutz Family Foundation,2011,WesternSlope,Montrose,Passage Charter School,5000.00,Montrose,General Operating,Education
Anschutz Family Foundation,2011,WesternSlope,Montrose,"All Points Transit, Inc.",7500.00,Montrose,Program,Disabled Persons
Anschutz Family Foundation,2011,WesternSlope,Mesa,St. Mary's Hospital and Medical Center,5000.00,Grand Junction,General Operating,
Anschutz Family Foundation,2011,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",7500.00,Eckert,General Operating,"Food, Agriculture, Nutrition"
Anschutz Family Foundation,2011,WesternSlope,Mesa,"Black Canyon Boys & Girls Club, Inc.",5000.00,Montrose,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Mesa,Girls on the Run of Western Colorado,5000.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Gunnison,Gunnison Country Partners,5000.00,Gunnison,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Mesa,Mesa County Partners,7500.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,Ouray,Voyager Youth Program,5000.00,Ridgway,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,WesternSlope,San Miguel,The Wright Stuff Community Foundation,5000.00,Norwood,General Operating,Children and Youth Services
Boettcher Foundation,2011,WesternSlope,Montrose,Colorado FFA Foundation,1170.00,Montrose,Program,
Boettcher Foundation,2011,WesternSlope,Mesa,Colorado Mesa University,15000.00,Grand Junction,Student Aid/Scholarship,Education
Boettcher Foundation,2011,WesternSlope,Gunnison,Crested Butte Land Trust,2500.00,Crested Butte,General Operating,
Boettcher Foundation,2011,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,15000.00,Grand Junction,Capital,Hospice
Boettcher Foundation,2011,WesternSlope,Mesa,"Mesa Youth Services, Inc.",40000.00,Grand Junction,Capital,Children and Youth Services
Boettcher Foundation,2011,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,2500.00,Crested Butte,General Operating,
Boettcher Foundation,2011,WesternSlope,San Miguel,Telluride Medical Center,25000.00,Telluride,Capital,Health                                                                     
Boettcher Foundation,2011,WesternSlope,Mesa,The Parenting Place of Western Colorado,10000.00,Grand Junction,Capital,
Boettcher Foundation,2011,WesternSlope,Gunnison,Western State College,15000.00,Gunnison,Student Aid/Scholarship,Education
Boettcher Foundation,2011,WesternSlope,Ouray,Wright Opera House,20000.00,Ouray,Capital,"Arts, Culture & Humanities "
Caring for Colorado Foundation,2011,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,50000.00,Gunnison,Program,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,Hinsdale,"LCMC Endowment Fund, Inc.",100000.00,Lake City,Capital,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,Montrose,Montrose County School District RE-1J,10473.00,Montrose,Program,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc. dba All Points Transit",30000.00,Montrose,Program,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,San Miguel,Telluride Foundation,72284.00,Telluride,Program,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,San Miguel,Uncompahgre Combined Clinics dba Uncompahgre Medical Center,100000.00,Norwood,Program,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,Mesa,"VOANS PACE, Inc. dba Senior CommUnity Care",52000.00,Montrose,Capital,
Colorado Health Foundation,2011,WesternSlope,Mesa,Colorado Mesa University,471493.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,75000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2011,WesternSlope,Mesa,Mesa County Valley School District,13500.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2011,WesternSlope,Montrose,Montrose County School District RE-1J,258442.00,Montrose,Program,Health                                                                     
Colorado Health Foundation,2011,WesternSlope,Montrose,Montrose Memorial Hospital,126229.00,Montrose,Program,Health                                                                     
Colorado Health Foundation,2011,WesternSlope,Montrose,Paradox Valley School,93595.00,Paradox,Program,Health                                                                     
Colorado Health Foundation,2011,WesternSlope,Mesa,Rocky Mountain Health Plans Foundation,139104.00,Grand Junction,Program,Health                                                                     
Colorado Health Foundation,2011,WesternSlope,San Miguel,Uncompahgre Combined Clinics,650000.00,Norwood,Program,Health                                                                     
Colorado Trust,2011,WesternSlope,Mesa,Grand Valley Public Radio Company,2000.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
Colorado Trust,2011,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",2000.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
Colorado Trust,2011,WesternSlope,Mesa,Grand Valley Recreation Resources,10000.00,Grand Junction,General Operating,"Community, Public Affairs"
Colorado Trust,2011,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",5000.00,Grand Junction,General Operating,"Environment, Conservation"
Colorado Trust,2011,WesternSlope,Mesa,Riverside Educational Center,5000.00,Grand Junction,General Operating,Education
Colorado Trust,2011,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",10000.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
Colorado Trust,2011,WesternSlope,Mesa,Western Colorado Math and Science Center,10000.00,Grand Junction,General Operating,Education
Colorado Trust,2011,WesternSlope,Mesa,Western Slope Center for Children,5000.00,Grand Junction,General Operating,Children and Youth Services
Daniels Fund,2011,WesternSlope,Hinsdale,Hinsdale County Public Health Agency,10000.00,Lake City,Program,Health                                                                     
Daniels Fund,2011,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",10000.00,Grand Junction,Program,"Philanthropy, Volunteerism, Grants"
Daniels Fund,2011,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",2500.00,Grand Junction,General Operating,"Philanthropy, Volunteerism, Grants"
Daniels Fund,2011,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",25000.00,Montrose,General Operating,"Community, Public Affairs"
Daniels Fund,2011,WesternSlope,Ouray,Uncompahgre Board of Cooperative Services,27770.00,Ridgway,General Operating,Disabled Persons
Daniels Fund,2011,WesternSlope,Gunnison,Paradise Place Community Christian School,8300.00,Crested Butte,Program,Education
Daniels Fund,2011,WesternSlope,San Miguel,Wright Stuff Community Foundation,15000.00,Norwood,Program,Education
Daniels Fund,2011,WesternSlope,Montrose,Christ's Kitchen,15000.00,Montrose,General Operating,Human Services
Daniels Fund,2011,WesternSlope,Mesa,Community Food Bank,20000.00,Grand Junction,General Operating,Human Services
Daniels Fund,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,"Domestic Violence Shelters, Services"
Daniels Fund,2011,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",25000.00,Grand Junction,General Operating,Children and Youth Services
Daniels Fund,2011,WesternSlope,Gunnison,Gunnison Country Partners,25000.00,Gunnison,General Operating,Children and Youth Services
Daniels Fund,2011,WesternSlope,Mesa,"Mesa Youth Services, Inc.",18000.00,Grand Junction,Program,Children and Youth Services
Daniels Fund,2011,WesternSlope,Mesa,"Mesa Youth Services, Inc.",2500.00,Grand Junction,General Operating,Children and Youth Services
Daniels Fund,2011,WesternSlope,Mesa,Riverside Educational Center,15000.00,Grand Junction,General Operating,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Gunnison,Crested Butte Mountain Heritage Museum,1000.00,Crested Butte,Capital,"Arts, Culture & Humanities "
El Pomar Foundation,2011,WesternSlope,Delta,"Altrusa International of Delta, Colorado, Inc.",2500.00,Delta,Other,"Community, Public Affairs"
El Pomar Foundation,2011,WesternSlope,Mesa,Girls On The Run of the Grand Valley,2000.00,Grand Junction,General Operating,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Mesa,"Grand Junction Baseball Committee, Inc.",50000.00,Grand Junction,Capital,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,25000.00,Grand Junction,Capital,Human Services
El Pomar Foundation,2011,WesternSlope,Delta,Kids Pasta Project,2500.00,Delta,Program,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",10000.00,Montrose,General Operating,"Community, Public Affairs"
El Pomar Foundation,2011,WesternSlope,San Miguel,San Miguel Watershed Coalition,20000.00,Telluride,Program,"Environment, Conservation"
El Pomar Foundation,2011,WesternSlope,San Miguel,Telluride Council for the Arts and Humanities,5000.00,Telluride,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2011,WesternSlope,San Miguel,Telluride Foundation,5000.00,Telluride,Program,"Community, Public Affairs"
El Pomar Foundation,2011,WesternSlope,Gunnison,Town of Crested Butte,25000.00,Crested Butte,Capital,"Community, Public Affairs"
El Pomar Foundation,2011,WesternSlope,San Miguel,Bright Futures,15000.00,Telluride,Capital,Education
El Pomar Foundation,2011,WesternSlope,Montrose,Mesa State College Foundation,5000.00,Montrose,Not Provided,Education
El Pomar Foundation,2011,WesternSlope,Gunnison,Telluride Academy,5000.00,Telluride,Program,Education
El Pomar Foundation,2011,WesternSlope,Mesa,Western Colorado Math and Science Center,15000.00,Grand Junction,General Operating,Education
El Pomar Foundation,2011,WesternSlope,Gunnison,Western State College Foundation,5000.00,Gunnison,Program,Education
El Pomar Foundation,2011,WesternSlope,San Miguel,Wright Stuff Community Foundation,10000.00,Norwood,Program,Education
El Pomar Foundation,2011,WesternSlope,Montrose,7th Judicial District Child Advocacy Center,12500.00,Montrose,General Operating,Abuse & Neglect Prevention
El Pomar Foundation,2011,WesternSlope,Gunnison,Habitat for Humanity of Gunnison Valley,5000.00,Gunnison,Program,"Housing, Homeless shelters"
El Pomar Foundation,2011,WesternSlope,Mesa,Pro Bono Project of Mesa County,2500.00,Grand Junction,Program,Legal Services
El Pomar Foundation,2011,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,Program,Abuse & Neglect Prevention
El Pomar Foundation,2011,WesternSlope,Montrose,Montrose Animal Protection Agency,2500.00,Montrose,Program,Animal Protection and Welfare
El Pomar Foundation,2011,WesternSlope,San Miguel,"Angel Baskets, Inc.",3500.00,Telluride,Program,Human Services
El Pomar Foundation,2011,WesternSlope,Montrose,"Association of Montrose Churches, Inc.",6000.00,Montrose,Program,"Housing, Homeless shelters"
El Pomar Foundation,2011,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta,Program,Education
