funder,region,county,nonprofit,amount,city,type,category,year
Anschutz Family Foundation,WesternSlope,Mesa,Counseling and Education Center,5000.00,Grand Junction,General Operating,Health ,2011
Anschutz Family Foundation,WesternSlope,Mesa,Artspace & Open Studios,3200.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",2011
Anschutz Family Foundation,WesternSlope,Mesa,St. Mary's Hospital and Medical Center,5000.00,Grand Junction,General Operating,,2011
Anschutz Family Foundation,WesternSlope,Mesa,"Black Canyon Boys & Girls Club, Inc.",5000.00,Montrose,General Operating,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Mesa,Girls on the Run of Western Colorado,5000.00,Grand Junction,General Operating,Children and Youth Services,2011
Anschutz Family Foundation,WesternSlope,Mesa,Mesa County Partners,7500.00,Grand Junction,General Operating,Children and Youth Services,2011
Boettcher Foundation,WesternSlope,Mesa,Colorado Mesa University,15000.00,Grand Junction,Student Aid/Scholarship,Education,2011
Boettcher Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,15000.00,Grand Junction,Capital,Hospice,2011
Boettcher Foundation,WesternSlope,Mesa,"Mesa Youth Services, Inc.",40000.00,Grand Junction,Capital,Children and Youth Services,2011
Boettcher Foundation,WesternSlope,Mesa,The Parenting Place of Western Colorado,10000.00,Grand Junction,Capital,,2011
Caring for Colorado Foundation,WesternSlope,Mesa,"VOANS PACE, Inc. dba Senior CommUnity Care",52000.00,Montrose,Capital,,2011
The Colorado Health Foundation,WesternSlope,Mesa,Colorado Mesa University,471493.00,Grand Junction,Program,Health ,2011
The Colorado Health Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,75000.00,Grand Junction,Program,Health ,2011
The Colorado Health Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,Health ,2011
The Colorado Health Foundation,WesternSlope,Mesa,Mesa County Valley School District,13500.00,Grand Junction,Program,Health ,2011
The Colorado Health Foundation,WesternSlope,Mesa,Rocky Mountain Health Plans Foundation,139104.00,Grand Junction,Program,Health ,2011
The Colorado Trust,WesternSlope,Mesa,Grand Valley Public Radio Company,2000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",2011
The Colorado Trust,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",2000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",2011
The Colorado Trust,WesternSlope,Mesa,Grand Valley Recreation Resources,10000.00,Grand Junction,General Operating,"Community, Public Affairs",2011
The Colorado Trust,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",5000.00,Grand Junction,General Operating,"Environment, Conservation",2011
The Colorado Trust,WesternSlope,Mesa,Riverside Educational Center,5000.00,Grand Junction,General Operating,Education,2011
The Colorado Trust,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",10000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",2011
The Colorado Trust,WesternSlope,Mesa,Western Colorado Math and Science Center,10000.00,Grand Junction,General Operating,Education,2011
The Colorado Trust,WesternSlope,Mesa,Western Slope Center for Children,5000.00,Grand Junction,General Operating,Children and Youth Services,2011
Daniels Fund,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",10000.00,Grand Junction,Program,"Philanthropy, Volunteerism, Grants",2011
Daniels Fund,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",2500.00,Grand Junction,General Operating,"Philanthropy, Volunteerism, Grants",2011
Daniels Fund,WesternSlope,Mesa,Community Food Bank,20000.00,Grand Junction,General Operating,Human Services,2011
Daniels Fund,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,"Domestic Violence Shelters, Services",2011
Daniels Fund,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",25000.00,Grand Junction,General Operating,Children and Youth Services,2011
Daniels Fund,WesternSlope,Mesa,"Mesa Youth Services, Inc.",18000.00,Grand Junction,Program,Children and Youth Services,2011
Daniels Fund,WesternSlope,Mesa,"Mesa Youth Services, Inc.",2500.00,Grand Junction,General Operating,Children and Youth Services,2011
Daniels Fund,WesternSlope,Mesa,Riverside Educational Center,15000.00,Grand Junction,General Operating,Children and Youth Services,2011
El Pomar Foundation,WesternSlope,Mesa,Girls On The Run of the Grand Valley,2000.00,Grand Junction,General Operating,Children and Youth Services,2011
El Pomar Foundation,WesternSlope,Mesa,"Grand Junction Baseball Committee, Inc.",50000.00,Grand Junction,Capital,Children and Youth Services,2011
El Pomar Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,25000.00,Grand Junction,Capital,Human Services,2011
El Pomar Foundation,WesternSlope,Mesa,Western Colorado Math and Science Center,15000.00,Grand Junction,General Operating,Education,2011
El Pomar Foundation,WesternSlope,Mesa,Pro Bono Project of Mesa County,2500.00,Grand Junction,Program,Legal Services,2011
El Pomar Foundation,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,Program,Abuse & Neglect Prevention,2011
Gates Family Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,100000.00,Grand Junction,Capital,Children and Youth Services,2011
Gates Family Foundation,WesternSlope,Mesa,Mesa County Partners Program,50000.00,Grand Junction,Capital,Children and Youth Services,2011
Gates Family Foundation,WesternSlope,Mesa,"Strong Families, Safe Kids",40000.00,Grand Junction,Capital,Children and Youth Services,2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services,2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,10000.00,Grand Junction,General Operating,Human Services,2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,22500.00,Grand Junction,General Operating,Human Services,2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,"Hilltop Community Resources, Inc.",27500.00,Grand Junction,General Operating,"Community, Public Affairs",2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice,2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",20000.00,Grand Junction,Program,Health ,2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services,2011
 Kenneth King Foundation,WesternSlope,Mesa,Child & Migrant Services,1500.00,Palisade,General Operating,Children and Youth Services,2011
 Kenneth King Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,1500.00,Grand Junction,Capital,Human Services,2011
 Kenneth King Foundation,WesternSlope,Mesa,High Desert Opera,500.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",2011
 Kenneth King Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,1500.00,Grand Junction,Program,Hospice,2011
 Kenneth King Foundation,WesternSlope,Mesa,Mesa Developmental Services,1500.00,Grand Junction,General Operating,,2011
 Kenneth King Foundation,WesternSlope,Mesa,Western Colorado Botanical Society,500.00,Grand Junction,Program,"Environment, Conservation",2011
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Mesa District Group of CAEYC,45000.00,Grand Junction,Program,,2011
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,35000.00,Grand Junction,Program,Health ,2011
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health ,2011
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,25000.00,Grand Junction,General Operating,Health ,2011
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Strong Families, Safe Kids",20000.00,Grand Junction,Capital,Children and Youth Services,2011
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Strong Families, Safe Kids",12000.00,Grand Junction,General Operating,Children and Youth Services,2011
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,"Community, Public Affairs",2011
 Kenneth King Foundation,WesternSlope,Moffat,Colorado Elks No. 1577,2500.00,Craig,General Operating,"Community, Public Affairs",2011
Adolph Coors Foundation,WesternSlope,Montrose,Black Canyon Boys & Girls Club,10000.00,Montrose,General Operating,,2011
Adolph Coors Foundation,WesternSlope,Montrose,Delta Montrose Youth Services,15000.00,Montrose,General Operating,,2011
Animal Assistance Foundation,WesternSlope,Montrose,Dream Catcher Therapy Center and End of Trail,10000.00,Olathe,Program,Animal Protection and Welfare,2011
Animal Assistance Foundation,WesternSlope,Montrose,Hoof and Paw,2000.00,Nucla,General Operating,Animal Protection and Welfare,2011
Animal Assistance Foundation,WesternSlope,Montrose,Montrose Animal Protection Agency,5000.00,Montrose,Program,Animal Protection and Welfare,2011
Anschutz Family Foundation,WesternSlope,Montrose,The Dolphin House,7500.00,Montrose,Program,Abuse & Neglect Prevention,2011
Anschutz Family Foundation,WesternSlope,Montrose,Voices for Children,5000.00,Montrose,General Operating,Abuse & Neglect Prevention,2011
Anschutz Family Foundation,WesternSlope,Montrose,End of the Trail Horse Rescue/Sanctuary,5000.00,Olathe,General Operating,Disabled Persons,2011
Anschutz Family Foundation,WesternSlope,Montrose,Christ's Kitchen,5000.00,Montrose,General Operating,"Food, Agriculture, Nutrition",2011
Anschutz Family Foundation,WesternSlope,Montrose,Passage Charter School,5000.00,Montrose,General Operating,Education,2011
Anschutz Family Foundation,WesternSlope,Montrose,"All Points Transit, Inc.",7500.00,Montrose,Program,Disabled Persons,2011
Boettcher Foundation,WesternSlope,Montrose,Colorado FFA Foundation,1170.00,Montrose,Program,,2011
Caring for Colorado Foundation,WesternSlope,Montrose,Montrose County School District RE-1J,10473.00,Montrose,Program,Health ,2011
Caring for Colorado Foundation,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc. dba All Points Transit",30000.00,Montrose,Program,Health ,2011
The Colorado Health Foundation,WesternSlope,Montrose,Montrose County School District RE-1J,258442.00,Montrose,Program,Health ,2011
The Colorado Health Foundation,WesternSlope,Montrose,Montrose Memorial Hospital,126229.00,Montrose,Program,Health ,2011
The Colorado Health Foundation,WesternSlope,Montrose,Paradox Valley School,93595.00,Paradox,Program,Health ,2011
Daniels Fund,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",25000.00,Montrose,General Operating,"Community, Public Affairs",2011
Daniels Fund,WesternSlope,Montrose,Christ's Kitchen,15000.00,Montrose,General Operating,Human Services,2011
El Pomar Foundation,WesternSlope,Montrose,"Montrose County Senior Citizens Transportation, Inc.",10000.00,Montrose,General Operating,"Community, Public Affairs",2011
El Pomar Foundation,WesternSlope,Montrose,Mesa State College Foundation,5000.00,Montrose,Not Provided,Education,2011
El Pomar Foundation,WesternSlope,Montrose,7th Judicial District Child Advocacy Center,12500.00,Montrose,General Operating,Abuse & Neglect Prevention,2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Montrose,"Black Canyon Boys & Girls Club, Inc.",10000.00,Montrose,General Operating,Children and Youth Services,2011
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Montrose,"Partners of Delta, Montrose & Ouray",15000.00,Montrose,General Operating,"Community, Public Affairs",2011
 Kenneth King Foundation,WesternSlope,Montrose,"All Points Transit, Inc.",1500.00,Montrose,General Operating,,2011
 Kenneth King Foundation,WesternSlope,Montrose,"Sharing Ministries, Inc.",1500.00,Montrose,General Operating,Human Services,2011
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Montrose County Health and Human Services,27000.00,Montrose,Program,Children and Youth Services,2011
Temple Hoyne Buell Foundation,WesternSlope,Montrose,"Black Canyon Boys & Girls Club, Inc.",25000.00,Montrose,Program,Children and Youth Services,2011
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Passage Charter School,25000.00,Montrose,Not Provided,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Montrose County Health and Human Services,18000.00,Montrose,Program,Health ,2011
Adolph Coors Foundation,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,8000.00,Ridgway,General Operating,,2011
Animal Assistance Foundation,WesternSlope,Ouray,Second Chance Humane Society,5000.00,Ridgway,Program,Animal Protection and Welfare,2011
Anschutz Family Foundation,WesternSlope,Ouray,Voyager Youth Program,5000.00,Ridgway,General Operating,Children and Youth Services,2011
Boettcher Foundation,WesternSlope,Ouray,Wright Opera House,20000.00,Ouray,Capital,"Arts, Culture & Humanities ",2011
Daniels Fund,WesternSlope,Ouray,Uncompahgre Board of Cooperative Services,27770.00,Ridgway,General Operating,Disabled Persons,2011
Temple Hoyne Buell Foundation,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,5000.00,Ridgway,Program,Education,2011
Adolph Coors Foundation,WesternSlope,San Miguel,San Miguel Mentoring Program,10000.00,Telluride,General Operating,,2011
Anschutz Family Foundation,WesternSlope,San Miguel,Telluride Adaptive Sports Program,5000.00,Telluride,General Operating,Disabled Persons,2011
Anschutz Family Foundation,WesternSlope,San Miguel,The Wright Stuff Community Foundation,5000.00,Norwood,General Operating,Children and Youth Services,2011
Boettcher Foundation,WesternSlope,San Miguel,Telluride Medical Center,25000.00,Telluride,Capital,Health ,2011
Caring for Colorado Foundation,WesternSlope,San Miguel,Telluride Foundation,72284.00,Telluride,Program,Health ,2011
Caring for Colorado Foundation,WesternSlope,San Miguel,Uncompahgre Combined Clinics dba Uncompahgre Medical Center,100000.00,Norwood,Program,Health ,2011
The Colorado Health Foundation,WesternSlope,San Miguel,Uncompahgre Combined Clinics,650000.00,Norwood,Program,Health ,2011
Daniels Fund,WesternSlope,San Miguel,Wright Stuff Community Foundation,15000.00,Norwood,Program,Education,2011
El Pomar Foundation,WesternSlope,San Miguel,San Miguel Watershed Coalition,20000.00,Telluride,Program,"Environment, Conservation",2011
El Pomar Foundation,WesternSlope,San Miguel,Telluride Council for the Arts and Humanities,5000.00,Telluride,General Operating,"Arts, Culture & Humanities ",2011
El Pomar Foundation,WesternSlope,San Miguel,Telluride Foundation,5000.00,Telluride,Program,"Community, Public Affairs",2011
El Pomar Foundation,WesternSlope,San Miguel,Bright Futures,15000.00,Telluride,Capital,Education,2011
El Pomar Foundation,WesternSlope,San Miguel,Wright Stuff Community Foundation,10000.00,Norwood,Program,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Wright Stuff Community Foundation,25000.00,Norwood,Not Provided,Education,2011
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Bright Futures,20000.00,Telluride,Program,Children and Youth Services,2011
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Mountain Sprouts Preschool,7000.00,Telluride,Student Aid/Scholarship,Education,2011
Animal Assistance Foundation,WesternSlope,Delta,Friends of Cedaredge Animal Control,5000.00,Cedaredge,Program,Animal Protection and Welfare,2012
Daniels Fund,WesternSlope,Delta,"Delta County Meth Task Force, dba Drug Free Delta County",45000.00,Delta,General Operating,Health ,2012
Daniels Fund,WesternSlope,Delta,Delta County School District 50-J,35000.00,Delta,Program,Education,2012
Daniels Fund,WesternSlope,Delta,"Volunteers of America National Services - Senior CommUnity Meals, Incorporated",25000.00,Eckert,Program,"Community, Public Affairs",2012
Kenneth King Foundation,WesternSlope,Delta,Needlerock Mobile Family Health Clinic,2500.00,Crawford,Capital,Health ,2012
Kenneth King Foundation,WesternSlope,Delta,Volunteers of America National Services,2500.00,Eckert,General Operating,"Philanthropy, Volunteerism, Grants",2012
Temple Hoyne Buell Foundation,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Program,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,Delta,Delta County School District #50,14000.00,Delta,General Operating,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,Delta,Little Sprouts Community Preschool,12000.00,Cedaredge,General Operating,Education,2012
Adolph Coors Foundation,WesternSlope,Gunnison,Gunnison Country Partners,15000.00,Gunnison,General Operating,"Community, Public Affairs",2012
Kenneth King Foundation,WesternSlope,Gunnison,Paradise Place,500.00,Crested Butte,Capital,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Tenderfoot Child & Family Development Center,28000.00,Gunnison,General Operating,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Stepping Stones Children's Center,20000.00,Crested Butte,Student Aid/Scholarship,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Paradise Place,15000.00,Crested Butte,Student Aid/Scholarship,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Community Foundation of the Gunnison Valley,10000.00,Gunnison,General Operating,"Community, Public Affairs",2012
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Gunnison Hinsdale Early Childhood Council,10000.00,Gunnison,General Operating,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,Program,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,8000.00,Gunnison,Program,Health ,2012
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,Program,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,"Six Points Evaluation and Training, Inc.",5000.00,Gunnison,Capital,,2012
Adolph Coors Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,General Operating,Hospice,2012
Adolph Coors Foundation,WesternSlope,Mesa,Mesa Youth Services,15000.00,Grand Junction,General Operating,Children and Youth Services,2012
Animal Assistance Foundation,WesternSlope,Mesa,CLAWS/Cats League & Assistance of Western Slope,5000.00,Grand Junction,Program,Animal Protection and Welfare,2012
Daniels Fund,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",25000.00,Grand Junction,General Operating,Children and Youth Services,2012
Daniels Fund,WesternSlope,Mesa,"Girls on the Run of the Grand Valley, dba Girls on the Run of Western Colorado",10000.00,Grand Junction,General Operating,"Community, Public Affairs",2012
Daniels Fund,WesternSlope,Mesa,Grand Valley Catholic Outreach Incorporated,25000.00,Grand Junction,Capital,"Housing, Homeless shelters",2012
Daniels Fund,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,2500.00,Grand Junction,Program,Children and Youth Services,2012
Daniels Fund,WesternSlope,Mesa,"Karis, Incorporated",20000.00,Grand Junction,Program,"Housing, Homeless shelters",2012
Daniels Fund,WesternSlope,Mesa,"Mesa Youth Services, Incorporated, dba Mesa County Partners",20000.00,Grand Junction,Program,Children and Youth Services,2012
Daniels Fund,WesternSlope,Mesa,Saint Mary's Hospital Development Foundation,52000.00,Grand Junction,Capital,"Community, Public Affairs",2012
Daniels Fund,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Incorporated",15000.00,Grand Junction,Program,Children and Youth Services,2012
Kenneth King Foundation,WesternSlope,Mesa,Child & Migrant Services ,2500.00,Palisade,Other,Children and Youth Services,2012
Kenneth King Foundation,WesternSlope,Mesa,Desert Edge Therapy,1500.00,Palisade,General Operating,,2012
Kenneth King Foundation,WesternSlope,Mesa,Doors 2 Success,1500.00,Grand Junction,Program,,2012
Kenneth King Foundation,WesternSlope,Mesa,Grand Junction Symphony Orchestra,2500.00,Grand Junction,Other,"Arts, Culture & Humanities ",2012
Kenneth King Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,2500.00,Grand Junction,General Operating,Human Services,2012
Kenneth King Foundation,WesternSlope,Mesa,High Desert Opera,1500.00,Grand Junction,Event,"Arts, Culture & Humanities ",2012
Kenneth King Foundation,WesternSlope,Mesa,Melanoma Advocacy Partners,500.00,Grand Junction,General Operating,Health ,2012
Kenneth King Foundation,WesternSlope,Mesa,Tree House,1500.00,Grand Junction,Program,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Mesa District Group of CAEYC,42000.00,Grand Junction,Program,,2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,35000.00,Grand Junction,Program,Health ,2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health ,2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,25000.00,Grand Junction,General Operating,Health ,2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Strong Families, Safe Kids",15000.00,Grand Junction,General Operating,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,St. Mary's Hospital and Medical Center,10000.00,Grand Junction,Program,Health ,2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,"Colorado West Regional Mental Health Center, Inc.",5000.00,Grand Junction,Program,Health ,2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,"Community, Public Affairs",2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,5000.00,Grand Junction,Program,Health ,2012
Temple Hoyne Buell Foundation,WesternSlope,Mesa,Kids Aid,5000.00,Grand Junction,General Operating,Children and Youth Services,2012
Animal Assistance Foundation,WesternSlope,Montrose,Montrose Animal Protection Agency,5000.00,Montrose,Program,Animal Protection and Welfare,2012
Daniels Fund,WesternSlope,Montrose,"Haven House of Montrose, Incorporated, dba Haven House",15000.00,Montrose,General Operating,"Housing, Homeless shelters",2012
Daniels Fund,WesternSlope,Montrose,Passage Charter School,10000.00,Montrose,Program,Education,2012
Daniels Fund,WesternSlope,Montrose,"Sharing Ministries, Incorporated",20000.00,Montrose,General Operating,"Housing, Homeless shelters",2012
Kenneth King Foundation,WesternSlope,Montrose,Haven House,2500.00,Olathe,General Operating,,2012
Kenneth King Foundation,WesternSlope,Montrose,Paradox Valley School,2500.00,Paradox,Capital,Education,2012
Kenneth King Foundation,WesternSlope,Montrose,West End Family Link Center,500.00,Nucla,General Operating,,2012
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Paradox Valley School,8000.00,Paradox,General Operating,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Paradox Valley School,30180.00,Paradox,Capital,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,Montrose,"Black Canyon Boys & Girls Club, Inc.",25000.00,Montrose,Program,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,Montrose,West End School District,20000.00,Nucla,Capital,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Passage Charter School,18000.00,Montrose,Not Provided,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Montrose County Health and Human Services,15000.00,Montrose,Program,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Hospice and Palliative Care of Western Colorado,5000.00,Montrose,Program,Hospice,2012
Temple Hoyne Buell Foundation,WesternSlope,Montrose,Delta Montrose Youth Services,5000.00,Montrose,General Operating,Children and Youth Services,2012
Animal Assistance Foundation,WesternSlope,Ouray,Second Chance Humane Society,50000.00,Ridgway,Capital,Animal Protection and Welfare,2012
Temple Hoyne Buell Foundation,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,5000.00,Ridgway,Program,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Wright Stuff Community Foundation,25000.00,Norwood,Not Provided,Education,2012
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Bright Futures,23500.00,Telluride,Capital,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Bright Futures,20000.00,Telluride,Program,Children and Youth Services,2012
Temple Hoyne Buell Foundation,WesternSlope,San Miguel,Mountain Sprouts Preschool,7000.00,Telluride,Student Aid/Scholarship,Education,2012
Adolph Coors Foundation,Northwest,Grand,Pregnancy Resource Connection,5000.00,Granby,General Operating,Human Services,2009
Animal Assistance Foundation,Northwest,Grand,Troublesome Horse Rescue,3000.00,Kremmling,General Operating,Animal Protection and Welfare,2009
Anschutz Family Foundation,Northwest,Grand,Grand Foundation,7500.00,Winter Park,General Operating,"Community, Public Affairs",2009
Anschutz Family Foundation,Northwest,Grand,ADVOCATES: Victim Assistance Team of Grand County,5000.00,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services",2009
Daniels Fund,Northwest,Grand,Fraser Creative Learning Center,3000.00,Fraser,Program,Education,2009
El Pomar Foundation,Northwest,Grand,Rocky Mountain Repertory Theatre,10000.00,Grand Lake,Capital,"Arts, Culture & Humanities ",2009
El Pomar Foundation,Northwest,Grand,Shining Stars Foundation,5000.00,Tabernash,General Operating,,2009
Gates Family Foundation,Northwest,Grand,Fraser Valley Recreation,50000.00,Winter Park,Capital,"Environment, Conservation",2009
Temple Hoyne Buell Foundation,Northwest,Grand,Fraser Creative Learning Center and Day Care,20000.00,Fraser,General Operating,Education,2009
Temple Hoyne Buell Foundation,Northwest,Grand,Fraser Creative Learning Center and Day Care,4000.00,Fraser,Student Aid/Scholarship,Education,2009
The Colorado Health Foundation,Northwest,Grand,Grand County Rural Health Network,50000.00,Hot Sulphur Springs,Program,Health ,2009
Boettcher Foundation,Northwest,Jackson,North Park School District R-1,50000.00,Walden,Capital,,2009
The Colorado Health Foundation,Northwest,Jackson,"North Park Medical Clinic, Inc.",50000.00,Walden,Program,Health ,2009
Anschutz Family Foundation,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,7500.00,Craig,General Operating,Children and Youth Services,2009
Boettcher Foundation,Northwest,Moffat,Boys & Girls Club of Craig,10000.00,Craig,Capital,Children and Youth Services,2009
Gates Family Foundation,Northwest,Moffat,Yampa Valley Partners,25000.00,Craig,General Operating,"Community, Public Affairs",2009
Helen K. and Arthur E. Johnson Foundation,Northwest,Moffat,Boys & Girls Club of Craig,25000.00,Craig,General Operating,Children and Youth Services,2009
Kenneth King Foundation,Northwest,Moffat,Boys and Girls Club of Craig,5000.00,Craig,General Operating,Children and Youth Services,2009
Kenneth King Foundation,Northwest,Moffat,Boys and Girls Club of Craig,1000.00,Craig,Other,Children and Youth Services,2009
Kenneth King Foundation,Northwest,Moffat,Maybell Elementary School,1000.00,Maybell,Capital,Education,2009
Kenneth King Foundation,Northwest,Moffat,Maybell Elementary School,1000.00,Maybell,Capital,Education,2009
Temple Hoyne Buell Foundation,Northwest,Moffat,Boys & Girls Club of Craig,25000.00,Craig,General Operating,Children and Youth Services,2009
Temple Hoyne Buell Foundation,Northwest,Moffat,Moffat County School District Re-1,22000.00,Craig,Other,Education,2009
Temple Hoyne Buell Foundation,Northwest,Moffat,Moffat County School District Re-1,8000.00,Craig,Other,Education,2009
The Colorado Health Foundation,Northwest,Moffat,"Independent Life Center, Inc.",64000.00,Craig,Program,Health ,2009
The Colorado Health Foundation,Northwest,Moffat,"Northwest Colorado Dental Coalition, Inc.",27000.00,Craig,Program,Health ,2009
The Colorado Trust,Northwest,Moffat,Moffat County Department of Social Services,7500.00,Craig,Program,Health ,2009
Boettcher Foundation,Northwest,Rio Blanco,Colorado Northwestern Community College,50000.00,Rangely,Capital,Education,2009
Caring for Colorado Foundation,Northwest,Rio Blanco,Rangely District Hospital,25000.00,Rangely,General Operating,Health ,2009
Kenneth King Foundation,Northwest,Rio Blanco,Rio Blanco Colorado Historical Society,1500.00,Meeker,Other,"Arts, Culture & Humanities ",2009
Temple Hoyne Buell Foundation,Northwest,Rio Blanco,Human Resource Center,5600.00,Rangely,Other,Education,2009
Temple Hoyne Buell Foundation,Northwest,Rio Blanco,Human Resource Center,2000.00,Rangely,Other,Children and Youth Services,2009
Animal Assistance Foundation,Northwest,Routt,Born Free Wildlife,2500.00,Steamboat Springs,Not Provided,Animal Protection and Welfare,2009
Animal Assistance Foundation,Northwest,Routt,Health Care Foundation of the Yampa Valley,1000.00,Steamboat Springs,General Operating,Health ,2009
