funder,year,region,county,nonprofit,amount,city,,
El Pomar Foundation,2010,WesternSlope,Mesa,"Marillac Clinic, Inc.",7500.00,Grand Junction,Program,Human Services
El Pomar Foundation,2010,WesternSlope,Mesa,Western Council Boy Scouts of America,7500.00,Grand Junction,Student Aid/Scholarship,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Mesa,"Mesa Youth Services, Inc.",4000.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2010,WesternSlope,Mesa,Grand Junction Central High School,38500.00,Grand Junction,Program,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Grand Junction High School,28000.00,Grand Junction,Program,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa County Business Education Foundation,1500.00,Grand Junction,General Operating,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction,Student Aid/Scholarship,Education
El Pomar Foundation,2010,WesternSlope,Mesa,"Mesa Youth Services, Inc.",1500.00,Grand Junction,General Operating,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Riverside Educational Center,10000.00,Grand Junction,General Operating,Education
El Pomar Foundation,2010,WesternSlope,Mesa,Western Colorado Math and Science Center,50000.00,Grand Junction,Program,Education
Gates Family Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach,100000.00,Grand Junction,Capital,Children and Youth Services
Gates Family Foundation,2010,WesternSlope,Mesa,Mesa Land Trust,10000.00,Grand Junction,Capital,"Environment, Conservation"
Gates Family Foundation,2010,WesternSlope,Mesa,Mesa County Partners,50000.00,Grand Junction,Capital,"Community, Public Affairs"
Gates Family Foundation,2010,WesternSlope,Mesa,"Strong Families, Safe Kids",40000.00,Grand Junction,Capital,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach,10000.00,Grand Junction,General Operating,Human Services
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach,22500.00,Grand Junction,General Operating,Human Services
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,"Hilltop Community Resources, Inc.",27500.00,Grand Junction,General Operating,"Community, Public Affairs"
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,"Marillac Clinic, Inc.",20000.00,Grand Junction,Program,Health                                                                     
Helen K. and Arthur E. Johnson Foundation,2010,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services
Kenneth King Foundation,2010,WesternSlope,Mesa,Child & Migrant Services,1500.00,Palisade,General Operating,Children and Youth Services
Kenneth King Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach,1500.00,Grand Junction,Capital,Human Services
Kenneth King Foundation,2010,WesternSlope,Mesa,High Desert Opera,500.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
Kenneth King Foundation,2010,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,1500.00,Grand Junction,Program,Hospice
Kenneth King Foundation,2010,WesternSlope,Mesa,Mesa Developmental Services,1500.00,Grand Junction,General Operating,
Kenneth King Foundation,2010,WesternSlope,Mesa,Western Colorado Botanical Society,500.00,Grand Junction,Program,"Environment, Conservation"
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Mesa District Group of CAEYC,45000.00,Grand Junction,Program,
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,35000.00,Grand Junction,Program,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,25000.00,Grand Junction,General Operating,Health                                                                     
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Strong Families, Safe Kids",20000.00,Grand Junction,Capital,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,"Strong Families, Safe Kids",12000.00,Grand Junction,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2010,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,"Community, Public Affairs"
The Colorado Health Foundation,2010,WesternSlope,Mesa,Colorado Mesa University,471493.00,Grand Junction,Program,Health                                                                     
The Colorado Health Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach,75000.00,Grand Junction,Program,Health                                                                     
The Colorado Health Foundation,2010,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,Health                                                                     
The Colorado Health Foundation,2010,WesternSlope,Mesa,Mesa County Valley School District,13500.00,Grand Junction,Program,Health                                                                     
The Colorado Health Foundation,2010,WesternSlope,Mesa,Rocky Mountain Health Plans Foundation,139104.00,Grand Junction,Program,Health                                                                     
The Colorado Trust,2010,WesternSlope,Mesa,Grand Valley Public Radio Company,2000.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
The Colorado Trust,2010,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",2000.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
The Colorado Trust,2010,WesternSlope,Mesa,Grand Valley Recreation Resources,10000.00,Grand Junction,General Operating,"Community, Public Affairs"
The Colorado Trust,2010,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",5000.00,Grand Junction,General Operating,"Environment, Conservation"
The Colorado Trust,2010,WesternSlope,Mesa,Riverside Educational Center,5000.00,Grand Junction,General Operating,Education
The Colorado Trust,2010,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",10000.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
The Colorado Trust,2010,WesternSlope,Mesa,Western Colorado Math and Science Center,10000.00,Grand Junction,General Operating,Education
The Colorado Trust,2010,WesternSlope,Mesa,Western Slope Center for Children,5000.00,Grand Junction,General Operating,Children and Youth Services
Adolph Coors Foundation,2011,WesternSlope,Mesa,Boy Scouts of America/Western CO Council,5000.00,Grand Junction,General Operating,Children and Youth Services
Adolph Coors Foundation,2011,WesternSlope,Mesa,Collbran Job Corps Center,3000.00,Collbran,General Operating,"Employment, Job training"
Adolph Coors Foundation,2011,WesternSlope,Mesa,Kids Voting Mesa County,5000.00,Grand Junction,General Operating,
Animal Assistance Foundation,2011,WesternSlope,Mesa,Mesa County Animal Services,5000.00,Grand Junction,Program,Animal Protection and Welfare
Anschutz Family Foundation,2011,WesternSlope,Mesa,"Eagle Corps Robotics, Grand Mesa High School",5000.00,Collbran,Program,Education
Anschutz Family Foundation,2011,WesternSlope,Mesa,Riverside Educational Center,5000.00,Grand Junction,General Operating,Education
Anschutz Family Foundation,2011,WesternSlope,Mesa,The Parenting Place of Western Colorado,5000.00,Grand Junction,General Operating,
Anschutz Family Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,7500.00,Grand Junction,General Operating,Emergency Assistance      
Anschutz Family Foundation,2011,WesternSlope,Mesa,"Pro Bono Project of Mesa County, Inc.",2500.00,Grand Junction,General Operating,Legal Services
Anschutz Family Foundation,2011,WesternSlope,Mesa,"Mesa County, RSVP, Inc.",3242.00,Grand Junction,General Operating,
Anschutz Family Foundation,2011,WesternSlope,Mesa,"The Tree House Center for Youth, Inc.",5000.00,Grand Junction,Program,Children and Youth Services
Boettcher Foundation,2011,WesternSlope,Mesa,City of Fruita,75000.00,Fruita,Capital,
Boettcher Foundation,2011,WesternSlope,Mesa,Mesa State College,28210.00,Grand Junction,Student Aid/Scholarship,Education
Caring for Colorado Foundation,2011,WesternSlope,Mesa,"Child and Migrant Services, Inc.",23000.00,Palisade,Program,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,Mesa,Family Health West,100000.00,Fruita,Program,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,Mesa,Hilltop Community Resources,35000.00,Grand Junction,Program,
Caring for Colorado Foundation,2011,WesternSlope,Mesa,"Marillac Clinic, Inc.",100000.00,Grand Junction,Program,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,Mesa,Mesa State College,33573.00,Grand Junction,Program,Health                                                                     
Caring for Colorado Foundation,2011,WesternSlope,Mesa,Western Colorado Area Health Education Center (WCAHEC),100000.00,Grand Junction,Program,Health                                                                     
Daniels Fund,2011,WesternSlope,Mesa,City of Fruita,25000.00,Fruita,Capital,"Community, Public Affairs"
Daniels Fund,2011,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,30000.00,Grand Junction,General Operating,Hospice
Daniels Fund,2011,WesternSlope,Mesa,Saint Mary's Hospital Development,30000.00,Grand Junction,Program,Health                                                                     
Daniels Fund,2011,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor,10000.00,Grand Junction,General Operating,Disabled Persons
Daniels Fund,2011,WesternSlope,Mesa,Center for Independence,10000.00,Grand Junction,Program,Disabled Persons
Daniels Fund,2011,WesternSlope,Mesa,Mesa Developmental Services,40000.00,Grand Junction,Capital,Disabled Persons
Daniels Fund,2011,WesternSlope,Mesa,Community Food Bank,15000.00,Grand Junction,General Operating,Human Services
Daniels Fund,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,100000.00,Grand Junction,Program,"Housing, Homeless shelters"
Daniels Fund,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,30000.00,Grand Junction,Program,"Domestic Violence Shelters, Services"
Daniels Fund,2011,WesternSlope,Mesa,Community Friends of Collbran Job Corps,5000.00,Collbran,General Operating,Children and Youth Services
Daniels Fund,2011,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Inc.",10000.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Mesa,Grand Junction Imagination Library,2500.00,Grand Junction,Program,"Arts, Culture & Humanities "
El Pomar Foundation,2011,WesternSlope,Mesa,"Center for Enriched Communications, Inc.",5000.00,Grand Junction,General Operating,"Community, Public Affairs"
El Pomar Foundation,2011,WesternSlope,Mesa,City of Fruita,25000.00,Fruita,Capital,"Community, Public Affairs"
El Pomar Foundation,2011,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",5000.00,Grand Junction,General Operating,"Environment, Conservation"
El Pomar Foundation,2011,WesternSlope,Mesa,United Way of Mesa County,10000.00,Grand Junction,Program,"Community, Public Affairs"
El Pomar Foundation,2011,WesternSlope,Mesa,Riverside Educational Center,10000.00,Grand Junction,General Operating,Education
El Pomar Foundation,2011,WesternSlope,Mesa,"Child and Migrant Services, Inc.",5000.00,Palisade,General Operating,Human Services
El Pomar Foundation,2011,WesternSlope,Mesa,Habitat for Humanity of Mesa County,20000.00,Grand Junction,Program,"Housing, Homeless shelters"
El Pomar Foundation,2011,WesternSlope,Mesa,Hospice & Palliative Care of Western Colorado,10000.00,Grand Junction,General Operating,Hospice
El Pomar Foundation,2011,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction,General Operating,Disabled Persons
El Pomar Foundation,2011,WesternSlope,Mesa,Tree House Center for Troubled Youth,5000.00,Grand Junction,General Operating,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2011,WesternSlope,Mesa,"Marillac Clinic, Inc.",10000.00,Grand Junction,Program,Human Services
El Pomar Foundation,2011,WesternSlope,Mesa,Western Council Boy Scouts of America,7500.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2011,WesternSlope,Mesa,"Mesa Youth Services, Inc.",4000.00,Grand Junction,General Operating,
El Pomar Foundation,2011,WesternSlope,Mesa,Mesa County Business Education Foundation,15000.00,Grand Junction,Program,"Housing, Homeless shelters"
El Pomar Foundation,2011,WesternSlope,Mesa,Mesa State College Foundation,50000.00,Grand Junction,Program,Education
El Pomar Foundation,2011,WesternSlope,Mesa,Mesa State College Foundation,10000.00,Grand Junction,Program,Education
El Pomar Foundation,2011,WesternSlope,Mesa,Mesa State College Foundation,25000.00,Grand Junction,Event,"Housing, Homeless shelters"
El Pomar Foundation,2011,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction,Student Aid/Scholarship,Education
El Pomar Foundation,2011,WesternSlope,Mesa,Riverside Educational Center,1500.00,Grand Junction,General Operating,Education
El Pomar Foundation,2011,WesternSlope,Mesa,Western Colorado Math & Science Center,1500.00,Grand Junction,General Operating,Education
El Pomar Foundation,2011,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,25000.00,Grand Junction,Capital,Hospice
El Pomar Foundation,2011,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,1500.00,Grand Junction,Program,Hospice
El Pomar Foundation,2011,WesternSlope,Mesa,Quality Health Network,5000.00,Grand Junction,Program,Health                                                                     
Gates Family Foundation,2011,WesternSlope,Mesa,Mesa Land Trust,40000.00,Grand Junction,Capital,"Environment, Conservation"
Gates Family Foundation,2011,WesternSlope,Mesa,City of Fruita,50000.00,Fruita,Capital,Children and Youth Services
Gates Family Foundation,2011,WesternSlope,Mesa,Grand Junction Housing Authority,30000.00,Grand Junction,Capital,"Housing, Homeless shelters"
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,25000.00,Grand Junction,Program,Human Services
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Hilltop Community Resources,27500.00,Grand Junction,General Operating,
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Mesa County Partners,20000.00,Grand Junction,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2011,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction,Capital,Disabled Persons
Kenneth King Foundation,2011,WesternSlope,Mesa,Boy Scouts of America/Western CO Council,1500.00,Grand Junction,General Operating,Children and Youth Services
Kenneth King Foundation,2011,WesternSlope,Mesa,Grand Valley Catholic Outreach,2500.00,Grand Junction,General Operating,Human Services
Kenneth King Foundation,2011,WesternSlope,Mesa,Kans Inc.,1500.00,Grand Junction,General Operating,
Kenneth King Foundation,2011,WesternSlope,Mesa,"Marillac Clinic, Inc.",2500.00,Grand Junction,General Operating,Health                                                                     
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Hilltop Community Resources,30000.00,Grand Junction,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Hilltop Community Resources,30000.00,Grand Junction,Program,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Mesa Land Trust,15000.00,Grand Junction,General Operating,"Environment, Conservation"
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,"Strong Families, Safe Kids",12000.00,Grand Junction,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Western Colorado Math & Science Center,12000.00,Grand Junction,General Operating,Education
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,"St. Mary's Hospital and Medical Center, Inc.",10000.00,Grand Junction,Program,Health                                                                     
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Western Colorado Center for the Arts,8000.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Grand Junction Imagination Library,5000.00,Grand Junction,General Operating,"Community, Public Affairs"
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,Grand Junction Musical Arts Association,5000.00,Grand Junction,Event,"Arts, Culture & Humanities "
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,"Mesa Youth Service, Inc.",5000.00,Grand Junction,General Operating,Children and Youth Services
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,Program,Children and Youth Services
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,"Marillac Clinic, Inc.",4500.00,Grand Junction,Program,Health                                                                     
Temple Hoyne Buell Foundation,2011,WesternSlope,Mesa,"Child and Migrant Services, Inc.",3500.00,Palisade,General Operating,Children and Youth Services
The Colorado Health Foundation,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,330000.00,Grand Junction,Program,Health                                                                     
The Colorado Health Foundation,2011,WesternSlope,Mesa,Hilltop Health Services Corporation,15000.00,Grand Junction,Program,Health                                                                     
The Colorado Health Foundation,2011,WesternSlope,Mesa,Mesa County Retired and Senior Volunteer Program,207209.00,Grand Junction,Program,Health                                                                     
The Colorado Health Foundation,2011,WesternSlope,Mesa,Quality Health Network,640000.00,Grand Junction,Program,Health                                                                     
The Colorado Trust,2011,WesternSlope,Mesa,CLUB 20 Education & Research Foundation,390703.00,Grand Junction,Program,Health                                                                     
El Pomar Foundation,2012,WesternSlope,Mesa,Mesa Developmental Services,25000.00,Grand Junction,Capital,Disabled Persons
Adolph Coors Foundation,2012,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,7500.00,Grand Junction,General Operating,Human Services
Adolph Coors Foundation,2012,WesternSlope,Mesa,Hilltop Community Resources,15000.00,Grand Junction,Program,Human Services
Adolph Coors Foundation,2012,WesternSlope,Mesa,Housing Resources of Western Colorado,15000.00,Grand Junction,Capital,Human Services
Adolph Coors Foundation,2012,WesternSlope,Mesa,Mesa County Partners,80000.00,Grand Junction,Capital,Children and Youth Services
Animal Assistance Foundation,2012,WesternSlope,Mesa,Claws,3000.00,Grand Junction,Other,Animal Protection and Welfare
Animal Assistance Foundation,2012,WesternSlope,Mesa,Community Cat Care,3000.00,Grand Junction,Program,Animal Protection and Welfare
Animal Assistance Foundation,2012,WesternSlope,Mesa,Mesa County Animal Services,15080.00,Grand Junction,Program,Animal Protection and Welfare
Animal Assistance Foundation,2012,WesternSlope,Mesa,Two Pines Ranch Wildlife Rehab,100.00,Mesa,Student Aid/Scholarship,Animal Protection and Welfare
Anschutz Family Foundation,2012,WesternSlope,Mesa,Artspace & Open Studios,2700.00,Grand Junction,Program,
Anschutz Family Foundation,2012,WesternSlope,Mesa,"Child and Migrant Services, Inc.",5000.00,Palisade,General Operating,Human Services
Anschutz Family Foundation,2012,WesternSlope,Mesa,Colorado Discover Ability,5000.00,Grand Junction,General Operating,Disabled Persons
Anschutz Family Foundation,2012,WesternSlope,Mesa,Counseling and Education Center,5000.00,Grand Junction,General Operating,Health                                                                     
Anschutz Family Foundation,2012,WesternSlope,Mesa,Mesa County Partners,7500.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2012,WesternSlope,Mesa,Riverside Educational Center,7500.00,Grand Junction,General Operating,Education
Anschutz Family Foundation,2012,WesternSlope,Mesa,St. Mary's Foster Grandparent Program,5000.00,Grand Junction,General Operating,Children and Youth Services
Anschutz Family Foundation,2012,WesternSlope,Mesa,The Literacy Center,5000.00,Grand Junction,General Operating,Education
Anschutz Family Foundation,2012,WesternSlope,Mesa,The Tree House Center for Youth,5000.00,Grand Junction,Program,Children and Youth Services
Anschutz Family Foundation,2012,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,5000.00,Grand Junction,Program,Health                                                                     
Boettcher Foundation,2012,WesternSlope,Mesa,Mesa State College,200000.00,Grand Junction,Capital,Education
Boettcher Foundation,2012,WesternSlope,Mesa,Mesa State College,24261.00,Grand Junction,Student Aid/Scholarship,
Boettcher Foundation,2012,WesternSlope,Mesa,Western Colorado Community Foundation,1000.00,Grand Junction,Program,
Caring for Colorado Foundation,2012,WesternSlope,Mesa,"Child and Migrant Services, Inc.",23000.00,Palisade,General Operating,
Caring for Colorado Foundation,2012,WesternSlope,Mesa,"Hilltop Community Resources, Inc.",35000.00,Grand Junction,General Operating,
Caring for Colorado Foundation,2012,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,40000.00,Grand Junction,General Operating,Hospice
Caring for Colorado Foundation,2012,WesternSlope,Mesa,"Marillac Clinic, Inc.",50000.00,Grand Junction,General Operating,
Caring for Colorado Foundation,2012,WesternSlope,Mesa,Mesa State College,50000.00,Grand Junction,General Operating,Education
Caring for Colorado Foundation,2012,WesternSlope,Mesa,Western Colorado Area Health Education Center (WCAHEC),56000.00,Grand Junction,General Operating,
Daniels Fund,2012,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",20000.00,Grand Junction,General Operating,Children and Youth Services
Daniels Fund,2012,WesternSlope,Mesa,Grand Junction Housing Authority,30000.00,Grand Junction,Capital,Human Services
Daniels Fund,2012,WesternSlope,Mesa,Grand Valley Catholic Outreach,20904.00,Grand Junction,Capital,Human Services
Daniels Fund,2012,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000.00,Grand Junction,Program,"Philanthropy, Volunteerism, Grants"
Daniels Fund,2012,WesternSlope,Mesa,"Mesa Youth Services, Inc.",18000.00,Grand Junction,Program,Children and Youth Services
Daniels Fund,2012,WesternSlope,Mesa,Riverside Educational Center,15000.00,Grand Junction,General Operating,Children and Youth Services
Daniels Fund,2012,WesternSlope,Mesa,"The Tree House Center for Troubled Youth, Inc.",15000.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2012,WesternSlope,Mesa,Court Appointed Special Advocates of Mesa County,5000.00,Grand Junction,Program,"Community, Public Affairs"
El Pomar Foundation,2012,WesternSlope,Mesa,Grand Junction Housing Authority,10000.00,Grand Junction,Capital,"Housing, Homeless shelters"
El Pomar Foundation,2012,WesternSlope,Mesa,Housing Resources of Western Colorado,10000.00,Grand Junction,Program,"Housing, Homeless shelters"
El Pomar Foundation,2012,WesternSlope,Mesa,"Legends of the Grand Valley, Inc.",5000.00,Grand Junction,Program,"Arts, Culture & Humanities "
El Pomar Foundation,2012,WesternSlope,Mesa,"Marillac Clinic, Inc.",15000.00,Grand Junction,Other,Health                                                                     
El Pomar Foundation,2012,WesternSlope,Mesa,"Mesa County Retired & Senior Volunteer Program, Inc.",5000.00,Grand Junction,General Operating,"Philanthropy, Volunteerism, Grants"
El Pomar Foundation,2012,WesternSlope,Mesa,Mesa State College Foundation,13130.00,Grand Junction,Program,Education
El Pomar Foundation,2012,WesternSlope,Mesa,Museum of Western Colorado,10000.00,Grand Junction,Capital,"Arts, Culture & Humanities "
El Pomar Foundation,2012,WesternSlope,Mesa,St. Mary's Hospital Foundation,50000.00,Grand Junction,Capital,Health                                                                     
El Pomar Foundation,2012,WesternSlope,Mesa,"Strong Families, Safe Kids",5000.00,Grand Junction,General Operating,Children and Youth Services
El Pomar Foundation,2012,WesternSlope,Mesa,Western Colorado Area Health Education Center,5000.00,Grand Junction,General Operating,Health                                                                     
El Pomar Foundation,2012,WesternSlope,Mesa,Court Appointed Special Advocates of Mesa County,5000.00,Grand Junction,Program,Abuse & Neglect Prevention
El Pomar Foundation,2012,WesternSlope,Mesa,Food Bank of the Rockies,5000.00,Grand Junction,Program,Human Services
El Pomar Foundation,2012,WesternSlope,Mesa,Grand Valley Catholic Outreach,12500.00,Grand Junction,Program,Human Services
El Pomar Foundation,2012,WesternSlope,Mesa,"Marillac Clinic, Inc.",7500.00,Grand Junction,Program,Health                                                                     
El Pomar Foundation,2012,WesternSlope,Mesa,"Boy Scouts of America, Western Colorado Council",7500.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2012,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",2500.00,Grand Junction,General Operating,Education
El Pomar Foundation,2012,WesternSlope,Mesa,Ariel Clinical Services,2500.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2012,WesternSlope,Mesa,Girls on the Run of the Grand Valley,2500.00,Grand Junction,General Operating,Children and Youth Services
El Pomar Foundation,2012,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,2500.00,Grand Junction,Program,Children and Youth Services
El Pomar Foundation,2012,WesternSlope,Mesa,"Club 20 Education and Research Foundation, Inc.",15000.00,Grand Junction,Event,Education
El Pomar Foundation,2012,WesternSlope,Mesa,"Club 20 Education and Research Foundation, Inc.",1870.00,Grand Junction,Event,Education
El Pomar Foundation,2012,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,1500.00,Grand Junction,General Operating,Disabled Persons
El Pomar Foundation,2012,WesternSlope,Mesa,Mesa County Business Education Foundation,1500.00,Grand Junction,Program,"Employment, Job training"
El Pomar Foundation,2012,WesternSlope,Mesa,Mesa State College Foundation,20000.00,Grand Junction,Not Provided,Education
El Pomar Foundation,2012,WesternSlope,Mesa,Mesa State College Foundation,50000.00,Grand Junction,Program,Education
El Pomar Foundation,2012,WesternSlope,Mesa,Mesa State College Foundation,1500.00,Grand Junction,Student Aid/Scholarship,Education
El Pomar Foundation,2012,WesternSlope,Mesa,"Mesa Youth Services, Inc.",3000.00,Grand Junction,General Operating,Education
El Pomar Foundation,2012,WesternSlope,Mesa,Western Colorado Center of the Arts,1500.00,Grand Junction,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2012,WesternSlope,Mesa,"Western Colorado Math and Science Center, Inc.",25000.00,Grand Junction,Other,Education
El Pomar Foundation,2012,WesternSlope,Mesa,Hilltop Health Services Corporation,3000.00,Grand Junction,Program,Health                                                                     
Gates Family Foundation,2012,WesternSlope,Mesa,Dominquez Archaeological Research Group,11100.00,Grand Junction,Capital,"Arts, Culture & Humanities "
Gates Family Foundation,2012,WesternSlope,Mesa,Western Colorado Botanical Society,20000.00,Grand Junction,Capital,"Environment, Conservation"
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,"Child and Migrant Services, Inc.",15000.00,Palisade,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Grand Valley Catholic Outreach Inc,20000.00,Grand Junction,Program,Human Services
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Grand Valley Senior Daybreak,7500.00,Grand Junction,General Operating,"Community, Public Affairs"
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Hilltop Community Resources,20000.00,Grand Junction,General Operating,
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction,Program,Hospice
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,"Marillac Clinic, Inc.",25000.00,Grand Junction,Capital,Health                                                                     
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,"Marillac Clinic, Inc.",25000.00,Grand Junction,Program,Health                                                                     
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Mesa County Partners,20000.00,Grand Junction,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Mesa County Partners,50000.00,Grand Junction,Capital,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services
Helen K. and Arthur E. Johnson Foundation,2012,WesternSlope,Mesa,Western Slope Center for Children,10000.00,Grand Junction,General Operating,Children and Youth Services
Kenneth King Foundation,2012,WesternSlope,Mesa,Child & Migrant Services (CMS),1500.00,Palisade,Not Provided,Children and Youth Services
