Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,Montrose,Sharing Ministries Food Bank,"$7,500.00",Montrose,General Operating,Food/Shelter/Homeless,11/30/14,,,,,,,,,,
AV Hunter Trust,2014,SanJuan,Montrose,CASA of the 7th Judicial District,"$5,000.00",Montrose,General Operating,Youth,8/20/14,,,,,,,,,,
AV Hunter Trust,2014,SanJuan,Montrose,Black Canyon Boys & Girls Club,"$7,500.00",Montrose,General Operating,Youth,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,SanJuan,Montrose,"All Points Transit, Inc.","$15,000.00",Montrose,Program Support,Senior,11/24/14,,,,,,,,,,
Boettcher Foundation,2014,SanJuan,Montrose,Telluride Foundation,"$25,000.00",Montrose,Program,Community,11/1/14,,,,,,,,,,
Caring for Colorado Foundation,2014,SanJuan,Montrose,Montrose County School District RE-1J,"$25,118.00",Montrose,Program,Health,6/25/14,,,,,,,,,,
Caring for Colorado Foundation,2014,SanJuan,Montrose,"Montrose County Senior Citizens Transportation, Inc.","$35,000.00",Montrose,Program,Health,1/29/14,,,,,,,,,,
Caring for Colorado Foundation,2014,SanJuan,Montrose,"Olathe Community Clinic, Inc.","$100,000.00",Olathe,Capital,Health,1/29/14,,,,,,,,,,
Daniels Fund,2014,SanJuan,Montrose,"Golden Circle Seniors, Incorporated","$9,900.00",Montrose,Program,Aging,,,,,,,,,,,
Daniels Fund,2014,SanJuan,Montrose,"Haven House of Montrose, Incorporated","$15,000.00",Montrose,General Operating,Homeless and Disadvantaged,,,,,,,,,,,
Daniels Fund,2014,SanJuan,Montrose,Montrose County School District No. RE-1J,"$20,000.00",Montrose,Program,Early Childhood Education,,,,,,,,,,,
Daniels Fund,2014,SanJuan,Montrose,Montrose Recreation District,"$500,000.00",Montrose,Capital,Aging,,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,SanJuan,Montrose,Black Canyon Boys and Girls Club,"$15,000.00",Montrose,General Support,Youth,6/23/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,SanJuan,Montrose,"Montrose County Senior Citizens Transportation, Inc","$12,500.00",Montrose,Program Support,Senior Citizens,6/23/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,SanJuan,Montrose,"Partners of Delta, Montrose & Ouray","$20,000.00",Montrose,General Support,Youth,6/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Montrose,Paradox Valley School,"$10,000.00",Paradox,General Operating,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Montrose,Montrose Regional Library District,"$10,000.00",Montrose,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Montrose,CASA of the Seventh Judicial District,"$6,000.00",Montrose,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Montrose,Montrose County School District Re-1J,"$30,000.00",Montrose,Capital,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Montrose,Maslow Academy of Applied Learning,"$55,000.00",Montrose,Program,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Montrose,Passage Charter School,"$18,000.00",Montrose,Program,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Montrose,Montrose County Health & Human Services,"$15,000.00",Montrose,Program,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanJuan,Montrose,Olathe Community Clinic,"$350,000.00",Olathe,Capital,Health,2/27/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanJuan,Montrose,Basin Medical Clinic,"$173,622.00",Naturita,Program,Health,2/13/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanJuan,Montrose,Olathe Community Clinic,"$173,452.00",Olathe,Program,Health,2/14/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanJuan,Montrose,The Valley Food Partnership,"$161,904.00",Montrose,Program,Health,6/24/14,,,,,,,,,,
The Colorado Trust,2014,SanJuan,Montrose,Valley Food Partnership,"$40,000.00",Montrose,General Operating,Health,3/26/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Gunnison ,Community Foundation of the Gunnison Valley,"$2,500.00",Gunnison,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Gunnison ,Gunnison Council for the Arts,"$5,000.00",Gunnison,General Operating,Arts and Culture,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Gunnison ,Gunnison Country Partners,"$5,000.00",Gunnison,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Gunnison ,"Gunnison Valley Animal Welfare League, Inc.","$5,000.00",Gunnison,Program,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanJuan,Gunnison ,"Seasons Schoolhouse, Inc.","$2,500.00",Gunnison,Program,Human Services,9/28/14,,,,,,,,,,
Adolph Coors Foundation,2014,SanJuan,Gunnison,"Six Points Evaluation and Training, Inc.","$20,000.00",Gunnison,Capital,,11/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,Gunnison,Gunnison Valley Mentors,"$7,500.00",Gunnison,General Operating,Youth Development,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,Gunnison,"Habitat for Humanity of Gunnison Valley, Inc.","$5,000.00",Gunnison,General Operating,Low Income Housing,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,Gunnison,Mountain Roots Food Project,"$7,500.00",Gunnison,General Operating,Food/Shelter/Homeless,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,SanJuan,Gunnison,Project Hope of Gunnison Valley,"$8,000.00",Gunnison,General Operating,Crisis Intervention,11/30/14,,,,,,,,,,
AV Hunter Trust,2014,SanJuan,Gunnison,"Six Points Evaluation & Training, Inc.","$7,500.00",Gunnison,General Operating,Disabled,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,SanJuan,Gunnison,"Six Points Evaluation & Training, Inc.","$2,500.00",Gunnison,General Operating,Disabled,12/4/14,,,,,,,,,,
Caring for Colorado Foundation,2014,SanJuan,Gunnison,Gunnison County Department of Health and Human Services,"$50,000.00",Gunnison,Program,Health,1/29/14,,,,,,,,,,
Daniels Fund,2014,SanJuan,Gunnison,City of Gunnison,"$38,100.00",Gunnison,Capital,Aging,,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,SanJuan,Gunnison,Gunnison Country Partners,"$25,000.00",Gunnison,General Support,Youth,12/2/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Gunnison,Tenderfoot Child & Family Development Center,"$31,000.00",Gunnison,General Operating,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Gunnison,Gunnison County Department of Health & Human Services,"$8,000.00",Gunnison,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Gunnison,Gunnison Hinsdale Early Childhood Council,"$10,000.00",Gunnison,General Operating,Early Childhood,10/9/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Gunnison,Stepping Stones Children's Center,"$22,000.00",Crested Butte,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Gunnison,Paradise Place,"$15,000.00",Crested Butte,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanJuan,Gunnison,Center for Adult & Family Education,"$10,000.00",Gunnison,Program,Early Childhood,12/11/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Saguache ,"Crestone Performances, Inc.","$2,500.00",Crestone,General Operating,Arts and Culture,5/7/14,,,,,,,,,,
Adolph Coors Foundation,2014,SanLuisValley,Saguache,Saguache Works,"$25,000.00",Saguache,Capital,,7/31/14,,,,,,,,,,
Gates Family Foundation,2014,SanLuisValley,Saguache,Saguache Works,"$55,000.00",Saguache,Capital,Rural Communities,1/31/2014,,,,,,,,,,
Gates Family Foundation,2014,SanLuisValley,Saguache,Town of Moffat,"$20,000.00",Moffat,Capital,"Well-being of Children, Youth & Families",6/30/2014,,,,,,,,,,
The Colorado Health Foundation,2014,SanLuisValley,Saguache,Center Consolidated School District 26jt,"$151,460.98",Center,Program,Health,2/26/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Rio Grande ,"High Valley Community Center, Inc.","$5,000.00",Del Norte,Program,Civic and Community,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Rio Grande ,"High Valley Community Center, Inc.","$2,500.00",Del Norte,General Operating,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Rio Grande ,Monte Vista Community Fund,"$2,500.00",Monte Vista,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Rio Grande ,Rio Grande Child Development Center & Family Services,"$5,000.00",Del Norte,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Rio Grande ,Rio Grande County Library District,"$5,000.00",Monte Vista,General Operating,Education,9/28/14,,,,,,,,,,
Adolph Coors Foundation,2014,SanLuisValley,Rio Grande,"High Valley Community Center, Inc.","$10,000.00",Del Norte,General Operating,,7/31/14,,,,,,,,,,
Daniels Fund,2014,SanLuisValley,Rio Grande,Monte Vista Education Foundation,"$157,500.00",Monte Vista,Capital,Amateur Sports,,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Mineral ,"Creede Repertory Theatre, Inc.","$5,000.00",Creede,Program,Arts and Culture,9/28/14,,,,,,,,,,
Caring for Colorado Foundation,2014,SanLuisValley,Mineral,Mineral County Board of County Commissioners,"$84,919.00",Creede,Capital,Health,5/27/14,,,,,,,,,,
Gates Family Foundation,2014,SanLuisValley,Mineral,Rio Grande Headwaters Land Trust,"$100,000.00",Creede,Capital,Natural Resources,9/30/2014,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Costilla ,"Mariachi San Luis, Inc.","$5,000.00",San Pablo,General Operating,Arts and Culture,9/28/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanLuisValley,Costilla,Tiny Hands Daycare Center,"$12,000.00",Blanca,General Operating,Early Childhood,12/11/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Conejos ,Conejos County Tourism Council,"$5,000.00",Antonito,Program,Civic and Community,5/7/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,Adams State University Foundation,"$111,000.00",Alamosa,Program,Education,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,"Boys and Girls Clubs of the San Luis Valley, Inc.","$2,500.00",Alamosa,General Operating,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,"Boys and Girls Clubs of the San Luis Valley, Inc.","$2,500.00",Alamosa,General Operating,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,City of Alamosa,"$75,000.00",Alamosa,Program,Civic and Community,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,La Puente Home Incorporated,"$250,000.00",Alamosa,General Operating,Human Services,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,La Puente Home Incorporated,"$2,500.00",Alamosa,Program,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,La Puente Home Incorporated,"$5,000.00",Alamosa,Program,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,San Luis Valley Local Foods Coalition,"$1,500.00",Alamosa,Program,Human Services,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,San Luis Valley Museum,"$2,500.00",Alamosa,Capital,Arts and Culture,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,Tu Casa Incorporated,"$17,000.00",Alamosa,Capital,Human Services,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,Tu Casa Incorporated,"$2,500.00",Alamosa,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,SanLuisValley,Alamosa ,Tu Casa Incorporated,"$2,500.00",Alamosa,General Operating,Human Services,9/28/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,SanLuisValley,Alamosa ,Boys and Girls Clubs of the San Luis Valley,"$35,000.00",Alamosa,General Support,Youth,12/2/14,,,,,,,,,,
Adolph Coors Foundation,2014,SanLuisValley,Alamosa,Boys and Girls Club of the San Luis Valley,"$15,000.00",Alamosa,General Operating,,3/31/14,,,,,,,,,,
Daniels Fund,2014,SanLuisValley,Alamosa,Adams State University Foundation,"$2,500.00",Alamosa,Program,Youth Development,,,,,,,,,,,
Daniels Fund,2014,SanLuisValley,Alamosa,"Boys & Girls Clubs of the San Luis Valley, Incorporated","$25,000.00",Alamosa,General Operating,Youth Development,,,,,,,,,,,
Daniels Fund,2014,SanLuisValley,Alamosa,"San Luis Valley Area Health Education Center, Incorporated","$13,000.00",Alamosa,Program,Youth Development,,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,SanLuisValley,Alamosa,La Puente Home Inc.,"$25,000.00",Alamosa,General Support,Civic and Community,6/23/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,SanLuisValley,Alamosa,"Tu Casa, Inc.","$10,000.00",Alamosa,General Support,Civic and Community,12/2/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanLuisValley,Alamosa,Valley-Wide Health Systems,"$12,000.00",Alamosa,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanLuisValley,Alamosa,Sargent Early Learning Center,"$19,000.00",Monte Vista,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanLuisValley,Alamosa,Children's Garden Early Learning Center,"$25,000.00",Alamosa,General Operating,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanLuisValley,Alamosa,Alamosa County Public Health Department,"$25,000.00",Alamosa,Program,Teen Pregnancy Prevention,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanLuisValley,Alamosa,Early Childhood Council of the San Luis Valley,"$70,000.00",Alamosa,Program,Early Childhood,12/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,SanLuisValley,Alamosa,La Llave Family Resource Center,"$17,000.00",Alamosa,Program,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanLuisValley,Alamosa,The Early Childhood Council of the San Luis Valley,"$585,676.00",Alamosa,Program,Health,2/20/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanLuisValley,Alamosa,San Luis Valley Local Foods Coalition,"$100,000.00",Alamosa,Program,Health,6/24/14,,,,,,,,,,
The Colorado Health Foundation,2014,SanLuisValley,Alamosa,San Luis Valley Behavioral Health Group,"$87,508.00",Alamosa,Program,Health,11/4/14,,,,,,,,,,
The Colorado Trust,2014,SanLuisValley,Alamosa,San Luis Valley Immigrant Resource Center,"$40,000.00",Alamosa,General Operating,Health,3/26/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Prowers ,Lamar Community College Foundation,"$10,000.00",Lamar,Program,Education,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Prowers ,Lamar School District RE-2,"$100,000.00",Lamar,Program,Education,9/28/14,,,,,,,,,,
The Colorado Health Foundation,2014,Southeast,Prowers ,Wiley School District,"$250,000.00",Wiley,Capital,Health,1/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Prowers,Lamar Community College,"$5,000.00",Lamar,Program,Self Sufficiency,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Prowers,Prowers Medical Center Foundation,"$10,000.00",Lamar,General Operating,Health & Hospice,4/30/14,,,,,,,,,,
AV Hunter Trust,2014,Southeast,Prowers,Lamar Area Hospice Association,"$10,000.00",Lamar,Program Support,Senior,11/24/14,,,,,,,,,,
Boettcher Foundation,2014,Southeast,Prowers,Lamar Community College,"$25,000.00",Lamar,Capital,Education,4/1/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Southeast,Prowers,Prowers Medical Center Foundation,"$50,000.00",Lamar,Capital,Health,6/25/14,,,,,,,,,,
Gates Family Foundation,2014,Southeast,Prowers,"Kanza Society, Inc.","$25,000.00",Lamar,Program,Rural Communities,12/15/2014,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Southeast,Prowers,Lamar Area Hospice Association,"$10,000.00",Lamar,Program Support,Health,6/23/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Southeast,Prowers,Lamar Community College Foundation,"$30,000.00",Lamar,Program Support,Education,6/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Prowers,Welcome Home Child and Family Development Center,"$36,000.00",Lamar,General Operating,Early Childhood,4/23/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Otero ,Crowley County Department of Human Services,"$5,000.00",Ordway,Program,Education,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Otero ,East Otero School District R-1,"$15,000.00",La Junta,Program,Education,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Otero ,Rocky Ford School District R-2,"$70,456.00",Rocky Ford,Program,Education,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Otero ,Swink School District,"$2,500.00",Swink,General Operating,Education,9/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Otero,First Impressions Learning Center,"$10,000.00",La Junta,General Operating,Early Childhood,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Otero,La Junta Associated Charities,"$10,000.00",La Junta,General Operating,Food/Shelter/Homeless,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Otero,Otero Junior College Foundation,"$5,000.00",La Junta,Program,Self Sufficiency,4/30/14,,,,,,,,,,
AV Hunter Trust,2014,Southeast,Otero,Tri-County Family Care Center,"$5,000.00",Rocky Ford,General Operating,Indigent,6/2/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Southeast,Otero,Otero Junior College,"$49,958.00",La Junta,Program,Health,5/27/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Southeast,Otero,Southeast Mental Health Services,"$44,000.00",La Junta,Program,Health,6/25/14,,,,,,,,,,
Daniels Fund,2014,Southeast,Otero,Southeast Mental Health Services,"$70,000.00",La Junta,Program,Alcoholism and Substance Abuse,,,,,,,,,,,
Gates Family Foundation,2014,Southeast,Otero,Southeast Colorado Regional Heritage Taskforce,"$100,000.00",Rocky Ford,General Operating,Rural Communities,10/31/2014,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Otero,Southeast Mental Health Services,"$50,000.00",La Junta,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Otero,First Impressions Learning Center,"$20,000.00",La Junta,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Otero,Tri-County Family Care Center,"$15,000.00",Rocky Ford,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Otero,Colorado Foundation for Public Health and the Environment,"$49,824.00",Denver,Program,Teen Pregnancy Prevention,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Otero,Otero County Health Department - Reach Out and Read,"$4,169.00",La Junta,Program,Early Childhood,8/11/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Otero,Otero Junior College Child Development Services,"$25,000.00",La Junta,General Operating,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Trust,2014,Southeast,Otero,"Southeast Mental Health Services, La Junta","$1,150.00",La Junta,General Operating,Health,2/7/14,,,,,,,,,,
The Colorado Trust,2014,Southeast,Otero,"Southeast Mental Health Services, La Junta","$40,000.00",La Junta,General Operating,Health,3/26/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Las Animas ,"Mount Carmel Health, Wellness, and Community Center","$5,000.00",Trinidad,General Operating,Health,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Las Animas ,Southern Colorado Repertory Theatre,"$5,000.00",Trinidad,General Operating,Arts and Culture,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Las Animas ,Trinidad Community Foundation,"$2,500.00",Trinidad,Program,Civic and Community,5/7/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Las Animas ,Trinidad State Junior College Educational Foundation,"$16,000.00",Trinidad,Program,Education,7/24/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Las Animas,"Southern Colorado Repertory Theatre, Ltd.","$10,000.00",Trinidad,Program,Youth Development,11/30/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Southeast,Las Animas,Huerfano-Las Animas Area Council of Governments,"$35,000.00",Trinidad,Program,Health,6/25/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Southeast,Las Animas,Mount Carmel Health Wellness And Community Center,"$88,830.00",Trinidad,Program,Health,5/27/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Southeast,Las Animas,Trinidad State Junior College,"$13,000.00",Trinidad,Technical Assistance,Health,5/27/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Las Animas,Puppyland Preschool,"$3,000.00",Weston,Program,Early Childhood,4/23/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Las Animas,South Central Council of Governments,"$30,000.00",Trinidad,Program,Early Childhood,12/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Southeast,Las Animas,"Mount Carmel Health, Wellness And Community Center","$206,995.00",Trinidad,Program,Health,2/6/14,,,,,,,,,,
The Colorado Trust,2014,Southeast,Las Animas,Earth Mountain Education Farm,"$5,000.00",Weston,General Operating,,11/12/14,,,,,,,,,,
The Colorado Trust,2014,Southeast,Las Animas,"First Christian Church, Inc.","$5,000.00",Trinidad,General Operating,,11/13/14,,,,,,,,,,
The Colorado Trust,2014,Southeast,Las Animas,Las Animas-Huerfano Counties District Health Department,"$3,000.00",Trinidad,General Operating,Health,2/7/14,,,,,,,,,,
Boettcher Foundation,2014,Southeast,Kiowa,Crow-Luther Cultural Events Center,"$5,000.00",Eads,Capital,Arts & Culture,1/1/14,,,,,,,,,,
Daniels Fund,2014,Southeast,Kiowa,Kiowa County Economic Development Foundation,"$25,000.00",Eads,Program,Amateur Sports,,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Huerfano ,Friends of Spanish Peaks Library District,"$10,000.00",Walsenburg,Capital,Education,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Huerfano ,"Spanish Peaks International Celtic Music Festival, Inc.","$1,500.00",Gardner,Program,Arts and Culture,7/24/14,,,,,,,,,,
Adolph Coors Foundation,2014,Southeast,Huerfano,Huerfano County Youth Services,"$10,000.00",Walsenburg,General Operating,,3/31/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Huerfano,La Veta Fire Protection District,"$10,000.00",La Veta,General Operating,"Civic, Community, and Technical Assistance",11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Huerfano,Museum Of Friends,"$5,000.00",Walsenburg,General Operating,"Civic, Community, and Technical Assistance",4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Huerfano,"Two Peaks Fitness, Inc.","$7,000.00",La Veta,Program,Senior Programs,4/30/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Huerfano,Spanish Peaks Child Care Center,"$16,000.00",Trinidad,General Operating,Early Childhood,12/11/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Crowley ,"Grand Friends, Inc.","$2,000.00",Rocky Ford,General Operating,Arts and Culture,9/28/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Crowley,Kids' Campus Preschool and Day Care Center,"$20,000.00",Ordway,General Operating,Early Childhood,8/11/14,,,,,,,,,,
The Colorado Health Foundation,2014,Southeast,Crowley,Crowley County School District RE-1-J,"$150,000.00",Ordway,Capital,Health,1/16/14,,,,,,,,,,
The Colorado Trust,2014,Southeast,Crowley,Crowley County,"$5,000.00",Ordway,General Operating,,11/4/14,,,,,,,,,,
Adolph Coors Foundation,2014,Southeast,Bent,Bent County/Las Animas Community Center,"$5,000.00",Las Animas,General Operating,,11/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Bent,Pioneer Historical Society of Bent County,"$7,500.00",Las Animas,Program,"Civic, Community, and Technical Assistance",11/30/14,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Bent,McClave School District Preschool,"$20,000.00",McClave,General Operating,Early Childhood,4/23/14,,,,,,,,,,
The Colorado Trust,2014,Southeast,Bent,Bent County/Las Animas Community Center,"$5,000.00",Las Animas,General Operating,,12/1/14,,,,,,,,,,
El Pomar Foundation,2014,Southeast,Baca ,"Blue Rose Ranch, Inc.","$5,000.00",Springfield,General Operating,Civic and Community,9/28/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Baca,"Blue Rose Ranch, Inc. ","$5,000.00",Springfield,General Operating,Humane Animal Services,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Baca,"Springfield Child Care Center, Inc.","$5,000.00",Springfield,Program,Early Childhood,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Southeast,Baca,"Springfield EMS Association, Inc.","$10,000.00",Springfield,Capital  ,Health & Hospice,11/30/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Southeast,Baca,Southeast Colorado Hospital District,"$26,250.00",Springfield,Capital,Health,1/29/14,,,,,,,,,,
Daniels Fund,2014,Southeast,Baca,Southeast Colorado Hospital District,"$10,004.00",Springfield,Program,Aging,,,,,,,,,,,
Temple Hoyne Buell Foundation,2014,Southeast,Baca,Springfield Child Care Center,"$14,500.00",Springfield,General Operating,Early Childhood,4/23/14,,,,,,,,,,
El Pomar Foundation,2014,Southwest,San Juan ,Mountain Studies Institute San Juan Mountains Colorado,"$5,000.00",Silverton,General Operating,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Southwest,San Juan ,Silverton Family Learning Center,"$2,500.00",Silverton,General Operating,Education,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Southwest,San Juan ,Silverton Family Learning Center,"$2,500.00",Silverton,Program,Education,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Southwest,San Juan ,Silverton Youth Center,"$2,500.00",Silverton,General Operating,Civic and Community,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Southwest,San Juan ,Silverton Youth Center,"$2,500.00",Silverton,General Operating,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Southwest,Montezuma ,Habitat for Humanity of Montezuma County,"$5,000.00",Cortez,General Operating,Human Services,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Southwest,Montezuma ,Mancos Public Library,"$5,000.00",Mancos,Capital,Education,7/24/14,,,,,,,,,,
El Pomar Foundation,2014,Southwest,Montezuma ,Mancos Valley Resources,"$1,500.00",Mancos,Program,Human Services,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Southwest,Montezuma ,Medicine Horse Center - Therapeutic Riding & Equine Rehabilitation,"$10,000.00",Mancos,Program,Health,9/28/14,,,,,,,,,,
