Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date,,,,
El Pomar Foundation,2012,Heart of CO,Park,Rocky Mountain Rural Health,"$1,250.00",Fairplay,General Operating,Health,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,"Old Homestead House Museum, Inc. ","$10,000.00",Cripple Creek,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Teller County School District RE-1,"$10,000.00",Cripple Creek,Program,Education ,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Teller County School District RE-1,"$15,000.00",Cripple Creek,Program ,Education ,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Colorado Wolf and Wildlife Center,"$4,525.00",Divide,Program ,Animal Protection and Welfare,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,City of Woodland Park,"$2,500.00",Woodland Park,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,"Community Cupboard of Woodland Park, Inc.","$2,500.00",Woodland Park,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Help the Needy,"$2,500.00",Woodland Park,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Little Chapel of the Hills,"$2,000.00",Divide,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Teller County Department of Social Services,"$5,000.00",Woodland Park,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,"Teller Senior Coalition, Inc.","$2,500.00",Woodland Park,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Teller,City of Victor,"$20,000.00",Victor,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,"Community Cupboard of Woodland Park, Inc.","$5,000.00",Woodland Park,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Divide Fire Protection District,"$10,000.00",Divide,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Four Mile Fire Protection District,"$5,000.00",Florissant,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Green Mountain Falls Chipita Park Volunteer Fire Department,"$5,000.00",Green Mountain Falls,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Northeast Teller County Fire District,"$7,500.00",Woodland Park,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Mountain Communities Fire Protection District,"$2,000.00",Woodland Park,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,"Teller County Regional Animal Shelter, Inc.","$2,500.00",Woodland Park,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Teller County Search and Rescue,"$2,500.00",Woodland Park,General Operating,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Teller County Sheriff's Department,"$15,000.00",Divide,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Teller,Teller County Sheriff's Office,"$20,000.00",Divide,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Heart of CO,Lake,Partnership for Lake County Recreation,"$25,000.00",Leadville,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Lake,Advocates of Lake County,"$5,000.00",Leadville,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Lake,First Presbyterian Church,"$3,000.00",Leadville,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Lake,Lake County Human Services,"$7,000.00",Leadville,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Lake,St. George Episcopal Church,"$3,000.00",Leadville,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Lake,"Full Circle of Lake County, Inc.","$2,000.00",Leadville,General Operating,Child and Youth Services,,,,,
El Pomar Foundation,2012,Heart of CO,Lake,Advocates of Lake County,"$3,500.00",Leadville,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Lake,"Full Circle of Lake County, Inc.","$10,000.00",Leadville,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Lake,Lake County School District R-1,"$5,000.00",Leadville,General Operating,Education,,,,,
El Pomar Foundation,2012,Heart of CO,Lake,Lake County School R-1,"$4,000.00",Leadville,Program,Education,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,"Breckenridge Music Institute, Inc.","$1,500.00",Breckenridge,Program,Arts & Humanities,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,Summit County Family Resource Center,"$5,000.00",Dillon,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,League for Animals and People of the Summit,"$5,000.00",Frisco,Program,Animal Protection and Welfare,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,Dillon Community Church,"$3,000.00",Dillon,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,Father Dyer United Methodist Church,"$3,000.00",Breckenridge,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,"Summit Community Care Clinic, Inc.","$5,000.00",Frisco,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,Summit County Family Resource Center,"$5,000.00",Dillon,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,Summit County Human Services,"$5,000.00",Frisco,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,Breckenridge Outdoor Education Center,"$1,000.00",Breckenridge,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,Keystone Center,"$5,000.00",Keystone,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,"Summit Community Care Clinic, Inc.","$7,500.00",Frisco,Program,Health,,,,,
El Pomar Foundation,2012,Heart of CO,Summit,Summit County Family Resource Center,"$10,000.00",Dillon,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast,Cheyenne,Kit Carson Rural Development,"$2,500.00",Kit Carson,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast,Cheyenne,"Praire View Health Resources, Inc.","$2,500.00",Cheyenne Wells,General Operating,Health,,,,,
El Pomar Foundation,2012,Northeast,Kit Carson ,Kit Carson Heath Service District ,"$25,000.00",Burlington,Project ,Health,,,,,
El Pomar Foundation,2012,Northeast,Kit Carson ,Colorado East Community Action Agency,"$7,500.00",Stratton,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northeast,Kit Carson ,Prairie Family Center,"$5,000.00",Burlington,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northeast,Kit Carson ,City of Burlington,"$5,000.00",Burlington,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast,Logan,Northeast Colorado Health Department,"$10,000.00",Sterling,Program,Health,,,,,
El Pomar Foundation,2012,Northeast,Logan,Cooperating Ministry of Logan County,"$10,000.00",Sterling,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northeast,Logan,Rural Solutions,"$4,000.00",Sterling,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,Northeast,Logan,Family Resource Center,"$2,500.00",Sterling,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast,Logan,Northeastern Junior College Foundation,"$50,000.00",Sterling,Program,Education,,,,,
El Pomar Foundation,2012,Northeast,Logan,Northeastern Junior College Foundation,"$20,000.00",Sterling,Program,Education,,,,,
El Pomar Foundation,2012,Northeast,Morgan,"Fort Morgan Heritage Foundation, Inc. ","$7,500.00",Fort Morgan,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast,Morgan,Caring Ministries of Morgan County,"$5,000.00",Fort Morgan,General Operating,Human Services ,,,,,
El Pomar Foundation,2012,Northeast,Morgan,Morgan County Early Childhood Council,"$5,000.00",Fort Morgan,General Operating,Education ,,,,,
El Pomar Foundation,2012,Northeast,Morgan,"SARA (Sexual Assault Respose Advocates), Inc.","$5,000.00",Fort Morgan,General Operating,"Domestic Violence Shelters, Services",,,,,
El Pomar Foundation,2012,Northeast,Morgan,Caring Ministries of Morgan County,"$15,000.00",Fort Morgan,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northeast,Morgan,Brush Fire Department,"$1,000.00",Brush,General Operating,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Northeast,Morgan,Morgan Community College Foundation,"$50,000.00",Fort Morgan,Program,Education,,,,,
El Pomar Foundation,2012,Northeast,Morgan,OneMorgan County,"$4,000.00",Fort Morgan,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast,Morgan,OneMorgan County,"$2,500.00",Fort Morgan,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast,Phillips,"Phillips County Family Education Service, Inc.","$5,000.00",Holyoke,General Operating,Education ,,,,,
El Pomar Foundation,2012,Northeast,Phillips,Phillips County Family Education Services,"$6,000.00",Holyoke,Program,Education,,,,,
El Pomar Foundation,2012,Northeast,Sedgwick,Sedgwick County Department of Human Services,"$2,500.00",Julesburg,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northeast,Sedgwick,Hippodrome Arts Center,"$5,000.00",Julesburg,General Operating,Arts & Humanities,,,,,
El Pomar Foundation,2012,Northeast,Yuma,Wray Community Child Care Center,"$10,000.00",Wray,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast,Yuma,Rural Communities Resrouce Center,"$10,000.00",Yuma,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northeast,Yuma,"Cliff Cultural Community Center, Inc. ","$2,500.00",Wray,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast,Yuma,"Hospice of the Plains, Inc.","$2,500.00",Wray,General Operating,Hospice,,,,,
El Pomar Foundation,2012,Northeast,Yuma,Regional Home Visitation Program,"$7,500.00",Yuma,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast ,Lincoln,Hugo Improvement Partnership,"$2,500.00",Hugo,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Northeast ,Yuma,"Cliff Cultural Community Center, Inc. ","$10,000.00",Wray,Program,Arts & Humanities,,,,,
El Pomar Foundation,2012,Northwest,Grand,Shining Star Foundation,"$5,000.00",Tabernash,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Northwest,Grand,Mountain Family Center,"$10,000.00",Hot Sulphur Springs,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northwest,Grand,Grand Huts Association,"$2,500.00",Fraser,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northwest,Moffat,Advocates Crisis Support Services,"$2,000.00",Craig,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northwest,Moffat,Community Budget Center of Craig,"$7,500.00",Craig,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northwest,Moffat,Love Inc. of the Yampa Valley,"$1,500.00",Craig,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northwest,Moffat,Boys and Girls Club of Northwest Colorado,"$5,000.00",Craig,General Operating,Youth Development,,,,,
El Pomar Foundation,2012,Northwest,Moffat,Friends of Moffat County Education,"$2,000.00",Craig,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northwest,Moffat,Yampa Valley Partners,"$3,000.00",Craig,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Northwest,Rio Blanco,"Rangely Food Bank, Inc.","$1,000.00",Rangely,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northwest,Routt,Friends of Perry-Mansfield Performing Arts School & Camp,"$2,500.00",Steamboat Springs,General Operating,Arts & Humanities,,,,,
El Pomar Foundation,2012,Northwest,Routt,Tread of Pioneers Historical Commission,"$10,000.00",Steamboat Springs,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Northwest,Routt,Northwest Colorado Visiting Nurse Association,"$10,000.00",Steamboat Springs,General Operating,Health,,,,,
El Pomar Foundation,2012,Northwest,Routt,Horizons Specialized Services,"$15,000.00",Steamboat Springs,Program,Disabled Persons,,,,,
El Pomar Foundation,2012,Northwest,Routt,Routt County Council on Aging,"$5,000.00",Steamboat Springs,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Northwest,Routt,Lift-Up of Routt County,"$7,500.00",Steamboat Springs,Program,Human Services ,,,,,
El Pomar Foundation,2012,Northwest,Routt,North Routt Community Charter School,"$2,500.00",Clark,General Operating,Education,,,,,
El Pomar Foundation,2012,San Luis Valley,Alamosa,Boys and Girls Clubs of the San Luis Valley,"$20,000.00",Alamosa,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,San Luis Valley,Alamosa,Dedicated Hearts Foundation,"$10,000.00",Alamosa,Program,Human Services ,,,,,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc.","$35,000.00",Alamosa,Program,Human Services ,,,,,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"South-Central Colorado Seniors, Inc.","$10,000.00",Alamosa,Program,Human Services ,,,,,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"Velley-Wide Health Systems, Inc.","$10,000.00",Alamosa,Program,Human Services ,,,,,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc.","$3,000.00",Alamosa,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,San Luis Valley,Alamosa,Wright Stuff Community Foundation,"$45,000.00",Alamosa,Program,Civic and Community,,,,,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc.","$5,000.00",Alamosa,General Operating,"Housing, Homeless shelters",,,,,
El Pomar Foundation,2012,San Luis Valley,Alamosa,"Tu Casa, Inc.","$14,000.00",Alamosa,Program,Civic and Community,,,,,
El Pomar Foundation,2012,San Luis Valley,Conejos,Conejos County Library District ,"$5,130.00",La Jara,Program,Civic and Community,,,,,
El Pomar Foundation,2012,San Luis Valley,Conejos,Valle del Sol Community Center,"$3,000.00",Capulin,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,San Luis Valley,Conejos,Conejos County Hospital Corporation,"$50,000.00",La Jara,Program,Health,,,,,
El Pomar Foundation,2012,San Luis Valley,Costilla,Tiny Hands Day Care Center,"$2,500.00",Blanca,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,San Luis Valley,Mineral,Creede Repertory Theater,"$25,000.00",Creede,General Operating,Arts & Humanities,,,,,
El Pomar Foundation,2012,San Luis Valley,Rio Grande,Rio Grande Family Development Center and Family Services,"$20,000.00",Del Norte,Program,Civic and Community,,,,,
El Pomar Foundation,2012,San Luis Valley,Rio Grande,Town of Del Norte,"$80,000.00",Del Norte,Capital,Civic and Community,,,,,
El Pomar Foundation,2012,San Luis Valley,Saguache,Northern Saguache County Library District,"$2,500.00",Saguache,Program,Civic and Community,,,,,
El Pomar Foundation,2012,San Luis Valley,Saguache,Saguache County Community Council,"$15,000.00",Center,Program,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,Gunnison,"Adaptive Sports Center of  Crested Butte, Inc.","$10,000.00",Crested Butte,Program,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,Gunnison,Western State College Foundation,"$5,000.00",Gunnison,General Operating,Education ,,,,,
El Pomar Foundation,2012,SanJuan,Gunnison,Gunnison County Partners,"$10,000.00",Gunnison,General Operating,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Gunnison,Gunnison Country Food Pantry,"$5,000.00",Gunnison,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Gunnison,Gunnison County Health and Human Services,"$10,000.00",Gunnison,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Gunnison,Gunnison County Partners,"$4,000.00",Gunnison,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,SanJuan,Gunnison,Gunnison County Partners,"$20,000.00",Gunnison,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,Gunnison,Rocky Mountain Biological Laboratory at Gothic,"$2,500.00",Crested Butte,General Operating,Health,,,,,
El Pomar Foundation,2012,SanJuan,Gunnison,Western State College Foundation,"$2,500.00",Gunnison,Program,Education,,,,,
El Pomar Foundation,2012,SanJuan,Hinsdale,Hinsdale County,"$5,000.00",Lake City,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Black Canon Boys and Girls Club,"$10,000.00",Montrose,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,RSVP Colorado West,"$5,000.00",Montrose,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Montrose Regional Library District,"$5,000.00",Montrose,Program,Education ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Midwestern Colorado Mental Health Center,"$10,000.00",Montrose,Capital,Health,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,7th Judicial District Child Advocacy Center,"$10,000.00",Montrose,General Operating,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Habitat for Humanity of Montrose County,"$10,000.00",Montrose,Program ,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Haven House of Montrose,"$5,000.00",Montrose,General Operating,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,"Sharing Ministries, Inc.","$5,000.00",Montrose,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,West End Family Link Center,"$2,500.00",Nucla,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Dream Catcher Therapy Center,"$2,500.00",Olathe,Program ,Animal Protection and Welfare,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,"Association of Montrose Churches, Inc.","$4,500.00",Aspen,General Operating,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Delta County Joint School District 50J,"$1,500.00",Delta,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,"Delta Food Pantry, Inc.","$1,500.00",Delta,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Delta-Montrose Electric Association Charitable Trust,"$7,500.00",Delta,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,"Montrose County Senior Citizens Transportation, Inc.","$2,500.00",Montrose,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,"Montrose Medical Mission, Inc.","$5,000.00",Montrose,Program,Health,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Montrose Rotary Club Youth Foundation,"$5,000.00",Montrose,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,West End Family Link Center,"$3,000.00",Nucla,General Operating,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Black Canyon Boys and Girls Club,"$15,000.00",Montrose,Program,Youth Development,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,"Sharing Ministries, Inc.","$2,500.00",Montrose,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Montrose,Telluride Foundation,"$2,500.00",Montrose,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,Ouray,Ouray County Schools Community Resources Consortium,"$7,000.00",Ridgway,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,Ouray,"Ouray County Neighbor to Neighbor, Inc.","$5,000.00",Ouray,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,Ouray,Ouray County Public Health,"$2,500.00",Ouray,Program,Health,,,,,
El Pomar Foundation,2012,SanJuan,San Miguel,Sheridan Arts Foundation,"$5,000.00",Telluride,General Operating,Arts & Humanities,,,,,
El Pomar Foundation,2012,SanJuan,San Miguel,"Angel Baskets, Inc.","$3,500.00",Telluride,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,San Miguel,Telluride Foundation,"$5,000.00",Telluride,Program,Human Services ,,,,,
El Pomar Foundation,2012,SanJuan,San Miguel,Uncompahgre Combined Clinics,"$2,000.00",Norwood,Program,Health,,,,,
El Pomar Foundation,2012,SanJuan,San Miguel,Bright Futures,"$35,000.00",Telluride,Program,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,San Miguel,San Miguel Mentoring Program,"$2,500.00",Telluride,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,SanJuan,San Miguel,San Miguel Mentoring Program,"$10,000.00",Telluride,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Southeast,Bent,Bent County/Las Animas Community Activity Center,"$20,000.00",Las Animas,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Southeast,Bent,Pioneer Historical Society of Bent County,"$4,314.00",Las Animas,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Southeast,Bent,"Mount Carmel Health, Wellness and Community Center","$2,500.00",Trinidad,General Operating,Health,,,,,
El Pomar Foundation,2012,Southeast,Bent,Council of Governments,"$5,000.00",Trinidad,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southeast,Bent,Las Animas Helping Hands,"$5,000.00",Las Animas,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southeast,Bent,Salvation Army of Trinidad Unit,"$5,000.00",Trinidad,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southeast,Bent,Bent County Memorial Nursing Home,"$5,000.00",Las Animas,Program,Health,,,,,
El Pomar Foundation,2012,Southeast,Bent,"Mount Carmel Health, Wellness, and Community Center","$5,000.00",Trinidad,General Operating,Health,,,,,
El Pomar Foundation,2012,Southeast,Bent,Trinidad Area Arts Council,"$5,000.00",Trinidad,General Operating,Arts & Humanities,,,,,
El Pomar Foundation,2012,Southeast,Bent,Las Animas Bent County Fire Protection District,"$5,000.00",Las Animas,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Southeast,Huerfano,Huerfano County Youth Services,"$5,000.00",Walsenburg,General Operating,Child and Youth Services,,,,,
El Pomar Foundation,2012,Southeast,Huerfano,Dorca's Circle,"$2,500.00",Walsenburg,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southeast,Huerfano,Huerfano County Youth Services,"$4,000.00",Walsenburg,General Operating,Child and Youth Services,,,,,
El Pomar Foundation,2012,Southeast,Otero,"Rocky Ford Swimming Pool Friends, Inc. ","$10,000.00",Rocky Ford,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Southeast,Otero,Friends of the Rocky Ford Library,"$3,000.00",Rocky Ford,General Operating,Education ,,,,,
El Pomar Foundation,2012,Southeast,Otero,"Arkansas Valley Hospice, Inc. ","$2,000.00",La Junta,General Operating,Health,,,,,
El Pomar Foundation,2012,Southeast,Otero,Southeast Mental Health Services,"$25,000.00",La Junta,Progran,Health,,,,,
El Pomar Foundation,2012,Southeast,Otero,"Tri-County Housing, Inc.","$25,000.00",Fowler,General Operating,"Housing, Homeless shelters",,,,,
El Pomar Foundation,2012,Southeast,Otero,"La Junta Associated Charities, Inc.","$5,000.00",La Junta,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southeast,Otero,"Tri-County Family Care Center, Inc.","$2,500.00",Rocky Ford,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southeast,Otero,"Tri-County Housing, Inc.","$5,000.00",Fowler,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southeast,Otero,City of Rocky Ford,"$2,500.00",Rocky Ford,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Southeast,Otero,Otero Junior College Foundation,"$9,000.00",La Junta,Program,Education,,,,,
El Pomar Foundation,2012,Southeast,Otero,Town of Cheraw,"$13,000.00",Cheraw,Program,"Public safety, Emergency relief",,,,,
El Pomar Foundation,2012,Southeast,Prowers,Lamar Area Hospice Association,"$25,000.00",Lamar,Program ,Civic and Community,,,,,
El Pomar Foundation,2012,Southeast,Prowers,Domestic Safety Resource Center,"$2,500.00",Lamar,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southwest,Archuleta,Seeds of Learning Family Center,"$20,000.00",Pagosa Springs,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Southwest,Archuleta,"Lucky Dog, Inc.","$5,000.00",Arboles,Program,Animal Protection and Welfare,,,,,
El Pomar Foundation,2012,Southwest,Archuleta,Community United Methodist Church,"$2,000.00",Pagosa Springs,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southwest,Archuleta,"Pagosa Crisis Pregnancy Center, Inc.","$1,000.00",Pagosa Springs,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southwest,Archuleta,Pope John Paul II Catholic Church,"$2,000.00",Pagosa Springs,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southwest,Archuleta,Restoration Fellowship of Pagosa Springs,"$2,000.00",Pagosa Springs,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southwest,Archuleta,St. Patrick's Episcopal Church,"$2,000.00",Pagosa Springs,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southwest,Archuleta,Community United Methodist Church,"$5,000.00",Pagosa Springs,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Southwest,Archuleta,Power House Ministries,"$15,000.00",Pagosa Springs,Program,Youth Development,,,,,
El Pomar Foundation,2012,Southwest,Dolores,Dolores County Health Association,"$5,000.00",Dove Creek,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southwest,Dolores,Dove's Nest,"$1,000.00",Dove Creek,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Durango Nature Studies,"$5,000.00",Durango,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Southwest,La Plata,"Trails 2000, Inc. ","$2,500.00",Durango,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Youth Baseball of Southwestern Colorado,"$25,000.00",Durango,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Pine River Library District,"$30,000.00",Bayfield,Program,Education ,,,,,
El Pomar Foundation,2012,Southwest,La Plata,"Riverhouse Children's Center, Inc. ","$15,000.00",Durango,Program,Education ,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Regional Substance Abuse Prevention Partners,"$10,000.00",Durango,General Operating,Health,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Violence Prevention Coalition of Southwest Colorado,"$5,000.00",Durango,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Manna the Durango Soup Kitchen,"$5,000.00",Durango,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southwest,La Plata,United Way of Southwest Colorado,"$17,500.00",Durango,Program,Human Services ,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Women's Resource Center in Durango,"$2,500.00",Durango,Program,"Domestic Violence Shelters, Services",,,,,
El Pomar Foundation,2012,Southwest,La Plata,Boys and Girls Clubs of La Plata County,"$1,000.00",Durango,Program,Child and Youth Services,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Big Brothers Big Sisters of Southwest Colorado,"$60,000.00",Durango,Program,Youth Development,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Boys and Girls Clubs of La Plata County,"$20,000.00",Durango,General Operating,Youth Development,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Durango Adult Education Center,"$5,000.00",Durango,Program,Education,,,,,
El Pomar Foundation,2012,Southwest,La Plata,Durango Foundation for Educational Excellence,"$5,000.00",Durango,Program,Education,,,,,
El Pomar Foundation,2012,Southwest,La Plata,"La Plata Youth Services, Inc.","$15,000.00",Durango,General Operating,Child and Youth Services,,,,,
El Pomar Foundation,2012,Southwest,La Plata,San Juan Board of Cooperative Educational Services,"$10,000.00",Durango,Program,Education,,,,,
El Pomar Foundation,2012,Southwest,La Plata,"Trails 2000, Inc. ","$5,000.00",Durango,Program,"Environment, Conservation",,,,,
El Pomar Foundation,2012,Southwest,La Plata,United Way of Southwest Colorado,"$5,000.00",Durango,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Southwest,Montezuma,Children's Kiva,"$10,000.00",Cortez,General Operating,Education ,,,,,
